pair_id,stock_a,stock_b,group_id,source,active_from,active_to
AAPL__CSCO,AAPL,CSCO,20150105_0_0,track_a,2015-01-06,2015-02-04
QCOM__TXN,QCOM,TXN,20150105_0_1,track_a,2015-01-06,2015-02-04
INTC__MSFT,INTC,MSFT,20150105_0_2,track_a,2015-01-06,2015-02-04
ADBE__NVDA,ADBE,NVDA,20150105_0_3,track_a,2015-01-06,2015-02-04
CVX__XOM,CVX,XOM,20150105_1_0,track_a,2015-01-06,2015-02-04
COP__OXY,COP,OXY,20150105_1_1,track_a,2015-01-06,2015-02-04
PSX__SLB,PSX,SLB,20150105_1_2,track_a,2015-01-06,2015-02-04
GS__JPM,GS,JPM,20150105_2_0,track_a,2015-01-06,2015-02-04
BAC__C,BAC,C,20150105_2_1,track_a,2015-01-06,2015-02-04
BAC__MS,BAC,MS,20150105_2_1,track_a,2015-01-06,2015-02-04
C__MS,C,MS,20150105_2_1,track_a,2015-01-06,2015-02-04
GIS__KMB,GIS,KMB,20150105_3_0,track_a,2015-01-06,2015-02-04
GIS__PG,GIS,PG,20150105_3_0,track_a,2015-01-06,2015-02-04
KMB__PG,KMB,PG,20150105_3_0,track_a,2015-01-06,2015-02-04
COST__WMT,COST,WMT,20150105_3_1,track_a,2015-01-06,2015-02-04
KO__PEP,KO,PEP,20150105_3_2,track_a,2015-01-06,2015-02-04
IBM__SYY,IBM,SYY,20150105_3_3,track_a,2015-01-06,2015-02-04
CL__MDLZ,CL,MDLZ,20150105_3_4,track_a,2015-01-06,2015-02-04
MPC__VLO,MPC,VLO,20150105_4_0,track_a,2015-01-06,2015-02-04
EOG__HAL,EOG,HAL,20150105_5_0,track_a,2015-01-06,2015-02-04
ORCL__PNC,ORCL,PNC,20150105_6_0,track_a,2015-01-06,2015-02-04
ORCL__USB,ORCL,USB,20150105_6_0,track_a,2015-01-06,2015-02-04
ORCL__WFC,ORCL,WFC,20150105_6_0,track_a,2015-01-06,2015-02-04
PNC__USB,PNC,USB,20150105_6_0,track_a,2015-01-06,2015-02-04
PNC__WFC,PNC,WFC,20150105_6_0,track_a,2015-01-06,2015-02-04
USB__WFC,USB,WFC,20150105_6_0,track_a,2015-01-06,2015-02-04
AXP__BLK,AXP,BLK,20150105_7_0,track_a,2015-01-06,2015-02-04
CSCO__QCOM,CSCO,QCOM,20150204_0_0,track_a,2015-02-05,2015-03-06
NVDA__TXN,NVDA,TXN,20150204_0_1,track_a,2015-02-05,2015-03-06
ADBE__INTC,ADBE,INTC,20150204_0_2,track_a,2015-02-05,2015-03-06
COP__CVX,COP,CVX,20150204_1_0,track_a,2015-02-05,2015-03-06
COP__OXY,COP,OXY,20150204_1_0,track_a,2015-02-05,2015-03-06
COP__XOM,COP,XOM,20150204_1_0,track_a,2015-02-05,2015-03-06
CVX__OXY,CVX,OXY,20150204_1_0,track_a,2015-02-05,2015-03-06
CVX__XOM,CVX,XOM,20150204_1_0,track_a,2015-02-05,2015-03-06
OXY__XOM,OXY,XOM,20150204_1_0,track_a,2015-02-05,2015-03-06
USB__WFC,USB,WFC,20150204_2_0,track_a,2015-02-05,2015-03-06
GS__PNC,GS,PNC,20150204_2_1,track_a,2015-02-05,2015-03-06
AXP__BLK,AXP,BLK,20150204_2_2,track_a,2015-02-05,2015-03-06
MSFT__ORCL,MSFT,ORCL,20150204_2_3,track_a,2015-02-05,2015-03-06
MPC__VLO,MPC,VLO,20150204_3_0,track_a,2015-02-05,2015-03-06
CL__KMB,CL,KMB,20150204_4_0,track_a,2015-02-05,2015-03-06
