pair_id,stock_a,stock_b,group_id,source,active_from,active_to
GIS__SYY,GIS,SYY,20150331_0_0,track_b,2015-04-01,2015-06-30
MDLZ__MS,MDLZ,MS,20150331_1_0,track_b,2015-04-01,2015-06-30
MDLZ__NVDA,MDLZ,NVDA,20150331_1_0,track_b,2015-04-01,2015-06-30
MS__NVDA,MS,NVDA,20150331_1_0,track_b,2015-04-01,2015-06-30
EOG__HAL,EOG,HAL,20150331_1_1,track_b,2015-04-01,2015-06-30
COST__GS,COST,GS,20150331_2_0,track_b,2015-04-01,2015-06-30
COST__IBM,COST,IBM,20150331_2_0,track_b,2015-04-01,2015-06-30
GS__IBM,GS,IBM,20150331_2_0,track_b,2015-04-01,2015-06-30
CSCO__INTC,CSCO,INTC,20150331_3_0,track_b,2015-04-01,2015-06-30
C__JPM,C,JPM,20150331_3_1,track_b,2015-04-01,2015-06-30
ORCL__WFC,ORCL,WFC,20150331_3_2,track_b,2015-04-01,2015-06-30
BAC__MSFT,BAC,MSFT,20150331_3_3,track_b,2015-04-01,2015-06-30
AAPL__WMT,AAPL,WMT,20150331_3_4,track_b,2015-04-01,2015-06-30
CL__KMB,CL,KMB,20150331_5_0,track_b,2015-04-01,2015-06-30
COP__MPC,COP,MPC,20150331_7_0,track_b,2015-04-01,2015-06-30
COP__PSX,COP,PSX,20150331_7_0,track_b,2015-04-01,2015-06-30
COP__VLO,COP,VLO,20150331_7_0,track_b,2015-04-01,2015-06-30
MPC__PSX,MPC,PSX,20150331_7_0,track_b,2015-04-01,2015-06-30
MPC__VLO,MPC,VLO,20150331_7_0,track_b,2015-04-01,2015-06-30
PSX__VLO,PSX,VLO,20150331_7_0,track_b,2015-04-01,2015-06-30
KO__USB,KO,USB,20150331_8_0,track_b,2015-04-01,2015-06-30
PEP__PG,PEP,PG,20150331_8_1,track_b,2015-04-01,2015-06-30
AXP__PNC,AXP,PNC,20150331_8_2,track_b,2015-04-01,2015-06-30
QCOM__TXN,QCOM,TXN,20150331_8_3,track_b,2015-04-01,2015-06-30
CVX__SLB,CVX,SLB,20150331_10_0,track_b,2015-04-01,2015-06-30
CVX__XOM,CVX,XOM,20150331_10_0,track_b,2015-04-01,2015-06-30
SLB__XOM,SLB,XOM,20150331_10_0,track_b,2015-04-01,2015-06-30
AXP__PG,AXP,PG,20150630_1_0,track_b,2015-07-01,2015-09-30
PEP__PNC,PEP,PNC,20150630_1_1,track_b,2015-07-01,2015-09-30
GIS__QCOM,GIS,QCOM,20150630_1_2,track_b,2015-07-01,2015-09-30
MPC__PSX,MPC,PSX,20150630_2_0,track_b,2015-07-01,2015-09-30
MPC__SYY,MPC,SYY,20150630_2_0,track_b,2015-07-01,2015-09-30
MPC__VLO,MPC,VLO,20150630_2_0,track_b,2015-07-01,2015-09-30
PSX__SYY,PSX,SYY,20150630_2_0,track_b,2015-07-01,2015-09-30
PSX__VLO,PSX,VLO,20150630_2_0,track_b,2015-07-01,2015-09-30
