date,close,volume
2014-01-02,108.25218963623047,4755639
2014-01-03,108.89986419677734,4250107
2014-01-06,108.52642822265625,4254919
2014-01-07,110.69112396240234,6205186
2014-01-08,109.6759033203125,4815470
2014-01-09,109.3316421508789,4520080
2014-01-10,109.26166534423828,4207430
2014-01-13,107.45283508300781,6050796
2014-01-14,108.47976684570312,4831683
2014-01-15,109.54170989990234,5038059
2014-01-16,110.1368408203125,4989734
2014-01-17,110.912841796875,7996252
2014-01-21,109.94429779052734,11585810
2014-01-22,106.33845520019531,14430721
2014-01-23,106.6185073852539,7294699
2014-01-24,104.81552124023438,7207568
2014-01-27,103.8002700805664,5448196
2014-01-28,103.18763732910156,5578632
2014-01-29,102.92510986328125,5199561
2014-01-30,103.48526000976562,5076970
2014-01-31,103.08846282958984,5432296
2014-02-03,100.8829345703125,7517393
2014-02-04,100.84783935546875,4549891
2014-02-05,101.66476440429688,4929066
2014-02-06,102.47439575195312,4489641
2014-02-07,103.98799896240234,4908773
2014-02-10,103.9234390258789,3703258
2014-02-11,105.4253158569336,4861076
2014-02-12,105.74217987060547,4166218
2014-02-13,106.68083953857422,4688172
2014-02-14,107.76619720458984,4874255
2014-02-18,107.4728775024414,4639219
2014-02-19,107.33208465576172,4886389
2014-02-20,108.10061645507812,5196737
2014-02-21,107.23820495605469,5961468
2014-02-24,107.62538146972656,4806684
2014-02-25,107.49632263183594,4081806
2014-02-26,107.98328399658203,3912772
2014-02-27,108.69316101074219,4003879
2014-02-28,108.63445281982422,4882623
2014-03-03,108.10061645507812,4131805
2014-03-04,109.37956237792969,4950718
2014-03-05,109.79023742675781,3645519
2014-03-06,110.08353424072266,3992896
2014-03-07,110.10704040527344,4307219
2014-03-10,109.3502197265625,4802395
2014-03-11,109.5672836303711,4424057
2014-03-12,109.25048065185547,5055318
2014-03-13,107.8894271850586,5139207
2014-03-14,106.89791107177734,5742854
2014-03-17,109.00994873046875,5165253
2014-03-18,109.59664154052734,4143520
2014-03-19,108.36457061767578,4522799
2014-03-20,110.23607635498047,5295480
2014-03-21,109.51448822021484,13111819
2014-03-24,110.44140625,6002471
2014-03-25,114.4249267578125,11414684
2014-03-26,113.00515747070312,7166878
2014-03-27,111.36840057373047,7079014
2014-03-28,111.73210906982422,5433342
2014-03-31,112.92890167236328,8930016
2014-04-01,114.10816192626953,5642229
2014-04-02,113.55079650878906,5150609
2014-04-03,113.04623413085938,4279291
2014-04-04,112.50653076171875,6370035
2014-04-07,114.1198501586914,7050563
2014-04-08,113.39826202392578,5360750
2014-04-09,115.36363220214844,5732185
2014-04-10,114.80045318603516,8805123
2014-04-11,114.5129623413086,5057410
2014-04-14,116.02656555175781,5680931
2014-04-15,115.58650970458984,5597460
2014-04-16,115.22280883789062,8919556
2014-04-17,111.47398376464844,11767082
2014-04-21,112.79985046386719,5669006
2014-04-22,112.7294692993164,4057016
2014-04-23,112.48302459716797,4954274
2014-04-24,111.59716796875,4609827
2014-04-25,111.25108337402344,4049066
2014-04-28,113.3102798461914,5897662
2014-04-29,114.46604919433594,4839110
2014-04-30,115.26386260986328,4400313
2014-05-01,113.53910827636719,3843004
2014-05-02,112.31291961669922,3190195
2014-05-05,112.20735931396484,2324317
2014-05-06,111.48570251464844,3335380
2014-05-07,111.70405578613281,3996766
2014-05-08,111.47392272949219,2543767
2014-05-09,112.16431427001953,2365634
2014-05-12,113.63361358642578,3951160
2014-05-13,113.40941619873047,2329024
2014-05-14,111.36176300048828,5493069
2014-05-15,110.0281982421875,4395501
2014-05-16,110.38225555419922,4131177
2014-05-19,110.34685516357422,3421152
2014-05-20,109.10176086425781,3165719
2014-05-21,109.98689270019531,3125448
2014-05-22,109.5678482055664,2320028
2014-05-23,109.7213363647461,2680793
2014-05-27,109.03685760498047,5014315
2014-05-28,108.03369903564453,3892794
2014-05-29,108.43495178222656,2886855
2014-05-30,108.78900909423828,4833043
2014-06-02,109.57382202148438,3347723
2014-06-03,108.79488372802734,2632887
2014-06-04,108.87748718261719,2486133
2014-06-05,109.74495697021484,2983401
2014-06-06,109.97506713867188,3448348
2014-06-09,109.88656616210938,2853906
2014-06-10,108.74768829345703,4346025
2014-06-11,107.54393768310547,4248538
2014-06-12,106.93610382080078,4628864
2014-06-13,107.72683715820312,2901186
2014-06-16,107.60293579101562,3719785
2014-06-17,107.5498046875,2574101
2014-06-18,108.34049987792969,4112663
2014-06-19,107.88026428222656,3714451
2014-06-20,107.13087463378906,11178393
2014-06-23,107.47900390625,3380358
2014-06-24,106.73548889160156,4053668
2014-06-25,106.64105987548828,2889889
2014-06-26,106.43456268310547,3408391
2014-06-27,107.22526550292969,4785973
2014-06-30,106.9655990600586,4418095
2014-07-01,109.9632568359375,6948683
2014-07-02,111.16706085205078,5327278
2014-07-03,111.24962615966797,2533830
2014-07-07,110.96052551269531,3094800
2014-07-08,110.47666931152344,3279315
2014-07-09,111.18478393554688,3461842
2014-07-10,110.75990295410156,3323979
2014-07-11,110.93690490722656,2513015
2014-07-14,112.03451538085938,4708151
2014-07-15,111.22606658935547,5088476
2014-07-16,113.50971984863281,8171980
2014-07-17,113.58641815185547,9280426
2014-07-18,113.59235382080078,8542054
2014-07-21,112.61865997314453,4345502
2014-07-22,114.53054809570312,5076238
2014-07-23,114.2591552734375,3749073
2014-07-24,115.2092056274414,3778884
2014-07-25,114.71353149414062,3531714
2014-07-28,115.52783203125,3391550
2014-07-29,114.81381225585938,3414249
2014-07-30,114.47745513916016,4125215
2014-07-31,113.1025390625,4401045
2014-08-01,111.61557006835938,5419431
2014-08-04,111.9046401977539,2223691
2014-08-05,110.40584564208984,3460063
2014-08-06,110.38803100585938,4023962
2014-08-07,109.396728515625,2833196
2014-08-08,110.77979278564453,2909449
2014-08-11,111.27839660644531,2643451
2014-08-12,111.20127868652344,1944096
2014-08-13,111.56331634521484,1877570
2014-08-14,111.52178192138672,2018257
2014-08-15,111.22496795654297,2944281
2014-08-18,112.40027618408203,2531634
2014-08-19,112.82172393798828,2133945
2014-08-20,112.83948516845703,2277770
2014-08-21,113.51024627685547,2611339
2014-08-22,113.0235366821289,2029554
2014-08-25,113.46871185302734,1802886
2014-08-26,114.55500793457031,3321468
2014-08-27,114.1156997680664,2290949
2014-08-28,113.96730041503906,1572766
2014-08-29,114.14542388916016,3043232
2014-09-02,113.70618438720703,2802966
2014-09-03,113.9376220703125,1906649
2014-09-04,113.18377685546875,2996790
2014-09-05,113.49248504638672,2364169
2014-09-08,112.86328125,2640313
2014-09-09,112.77420806884766,2514166
2014-09-10,113.69428253173828,2891144
2014-09-11,113.8011474609375,2404231
2014-09-12,113.53994750976562,3034446
2014-09-15,113.85457611083984,2569394
2014-09-16,114.53717041015625,2679329
2014-09-17,114.44225311279297,3358497
2014-09-18,115.0060806274414,3099612
2014-09-19,115.1544418334961,9259192
2014-09-22,114.6261978149414,3470628
2014-09-23,113.74175262451172,3453683
2014-09-24,114.15132904052734,3224400
2014-09-25,112.19252014160156,4342364
2014-09-26,112.8157958984375,2608619
2014-09-29,112.56647491455078,2443770
2014-09-30,112.67925262451172,3067500
2014-10-01,111.10032653808594,3894467
2014-10-02,110.94602966308594,2388123
2014-10-03,111.99070739746094,3212789
2014-10-06,112.2103271484375,2196077
2014-10-07,110.23368835449219,3128900
