date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,52.0,40.0,32.0,40.0,43.0,46.0,27.0,37.0,22.0,37.0,37.0,38.0,37.0,33.0,30.0,33.0,34.0,34.0,33.0,22.0,27.0,27.0,25.0,41.0,39.0,28.0,21.0,18.0,19.0,34.0,30.0,27.0,29.0,32.0,31.0,23.0,28.0,19.0,18.0,12.0
2015-06-30,52.0,38.0,31.0,40.0,41.0,45.0,26.0,37.0,24.0,36.0,37.0,38.0,37.0,33.0,30.0,33.0,32.0,33.0,33.0,23.0,26.0,26.0,25.0,43.0,39.0,28.0,21.0,19.0,19.0,35.0,27.0,27.0,28.0,32.0,31.0,22.0,25.0,15.0,18.0,13.0
2015-09-30,52.0,38.0,32.0,40.0,40.0,47.0,23.0,37.0,25.0,36.0,36.0,37.0,37.0,32.0,29.0,32.0,34.0,34.0,33.0,23.0,27.0,27.0,26.0,40.0,40.0,29.0,22.0,19.0,18.0,34.0,28.0,29.0,30.0,32.0,31.0,23.0,26.0,17.0,18.0,14.0
2015-12-31,53.0,38.0,33.0,42.0,40.0,46.0,27.0,37.0,24.0,36.0,36.0,37.0,37.0,32.0,29.0,32.0,35.0,36.0,35.0,23.0,28.0,28.0,27.0,42.0,41.0,29.0,22.0,20.0,18.0,36.0,27.0,30.0,31.0,31.0,31.0,25.0,27.0,17.0,20.0,16.0
2016-03-31,50.0,39.0,30.0,43.0,40.0,45.0,27.0,36.0,24.0,33.0,36.0,38.0,37.0,32.0,28.0,30.0,36.0,37.0,33.0,22.0,28.0,28.0,25.0,42.0,41.0,28.0,21.0,19.0,18.0,37.0,27.0,30.0,31.0,31.0,29.0,25.0,26.0,17.0,21.0,14.0
2016-06-30,52.0,40.0,29.0,44.0,38.0,42.0,27.0,33.0,25.0,32.0,36.0,38.0,38.0,31.0,28.0,30.0,34.0,36.0,33.0,20.0,28.0,27.0,26.0,45.0,42.0,26.0,22.0,20.0,19.0,41.0,27.0,28.0,28.0,30.0,30.0,25.0,24.0,16.0,21.0,15.0
2016-09-30,54.0,40.0,31.0,44.0,36.0,41.0,27.0,32.0,27.0,31.0,35.0,38.0,37.0,30.0,29.0,30.0,31.0,33.0,32.0,20.0,28.0,28.0,26.0,42.0,44.0,26.0,23.0,21.0,20.0,40.0,26.0,27.0,26.0,32.0,30.0,23.0,24.0,15.0,21.0,16.0
2016-12-30,53.0,40.0,31.0,41.0,36.0,41.0,27.0,34.0,29.0,30.0,36.0,38.0,37.0,30.0,29.0,31.0,31.0,32.0,32.0,19.0,30.0,29.0,26.0,44.0,43.0,27.0,23.0,21.0,20.0,42.0,27.0,27.0,25.0,33.0,31.0,24.0,24.0,17.0,21.0,16.0
2017-03-31,50.0,39.0,34.0,37.0,36.0,41.0,27.0,35.0,29.0,30.0,36.0,36.0,36.0,31.0,29.0,30.0,31.0,32.0,33.0,16.0,30.0,28.0,25.0,41.0,42.0,26.0,24.0,21.0,20.0,38.0,27.0,29.0,27.0,37.0,34.0,24.0,25.0,17.0,20.0,17.0
2017-06-30,46.0,37.0,37.0,36.0,36.0,42.0,28.0,35.0,32.0,32.0,35.0,35.0,35.0,30.0,28.0,29.0,30.0,31.0,33.0,16.0,32.0,30.0,26.0,41.0,42.0,27.0,24.0,22.0,21.0,38.0,26.0,30.0,25.0,35.0,31.0,24.0,25.0,18.0,21.0,17.0
2017-09-29,44.0,34.0,37.0,34.0,29.0,43.0,26.0,33.0,33.0,30.0,35.0,34.0,33.0,32.0,28.0,30.0,30.0,30.0,30.0,17.0,31.0,30.0,23.0,40.0,37.0,25.0,23.0,21.0,20.0,38.0,26.0,32.0,26.0,34.0,30.0,24.0,25.0,18.0,21.0,17.0
2017-12-29,44.0,35.0,34.0,37.0,30.0,42.0,28.0,30.0,33.0,23.0,34.0,34.0,35.0,32.0,28.0,30.0,30.0,31.0,32.0,17.0,30.0,29.0,23.0,39.0,38.0,26.0,23.0,20.0,20.0,37.0,26.0,32.0,27.0,36.0,31.0,24.0,25.0,18.0,22.0,17.0
