date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,31.115,40.66,0.5233,43.17,27.53,31.28,160.53,57.19,73.96,69.36,60.62,15.39,54.45,51.54,188.11,35.72,43.69,93.28,78.14,365.72,84.95,105.0,62.25,83.46,91.69,73.0005,63.5,51.185,78.61,43.89,81.97,40.55,95.64,27.4233,151.54,36.09,69.34,107.14,56.61,37.73
2015-06-30,31.3575,44.16,0.503,40.31,27.47,30.42,162.68,51.51,81.04,62.64,67.77,17.03,56.27,55.23,208.85,38.79,43.41,95.66,77.73,345.97,83.18,96.45,61.41,86.18,87.53,77.7286,62.6,52.31,80.55,43.07,78.21,39.22,93.35,23.64,135.12,41.15,65.39,105.97,55.71,36.09
2015-09-30,27.5725,44.23,0.616,36.11,26.24,30.13,144.9,49.52,82.2,53.73,60.95,15.57,51.31,49.61,173.59,31.48,41.0,89.18,74.11,297.37,74.26,78.88,47.95,68.92,72.8,66.1233,60.1,46.32,76.84,35.34,71.84,40.12,94.25,21.6133,144.57,41.83,63.48,109.04,56.12,38.97
2015-12-31,26.3075,55.46,0.8243,36.53,27.16,34.45,137.58,54.82,93.91,49.99,66.03,16.84,54.34,51.76,180.09,31.81,42.66,95.32,69.54,340.46,77.94,89.94,46.69,69.73,70.79,67.6027,70.72,51.84,81.8,34.04,79.4,42.96,99.89,20.4367,161.51,44.85,66.61,127.29,57.65,41.0
2016-03-31,27.2425,55.24,0.8905,40.92,28.48,32.35,151.48,57.42,93.8,51.15,59.23,13.52,48.36,41.75,157.03,25.01,40.58,84.56,61.44,340.46,83.63,95.4,40.27,73.76,72.59,68.45,64.17,37.16,86.61,35.73,82.32,46.38,102.5,22.8333,157.72,40.13,70.67,134.55,63.36,46.74
2016-06-30,23.905,51.18,1.1755,40.92,28.69,32.81,151.84,62.65,95.82,53.57,62.17,13.27,47.36,42.41,148.64,26.0,40.34,81.4,60.76,342.53,93.74,104.83,43.6,79.09,83.41,75.57,51.0,37.97,79.35,45.28,84.68,45.33,105.96,24.3433,157.12,45.51,73.19,137.46,71.34,50.74
2016-09-30,28.2575,57.59,1.713,39.28,31.72,37.74,158.82,70.18,108.54,68.5,66.59,15.66,44.29,47.24,161.3,32.06,42.89,90.09,64.04,362.35,87.3,102.92,43.47,78.64,96.71,72.93,53.0,40.58,80.57,44.88,89.55,42.33,108.77,24.0367,152.52,43.9,74.12,126.14,63.88,49.02
2016-12-30,28.9675,62.16,2.6688,38.46,30.25,36.3,166.02,72.99,102.96,65.25,86.34,22.15,55.13,59.44,239.67,42.26,51.39,116.97,74.09,380.77,90.28,117.79,50.15,83.98,101.12,71.24,68.35,50.37,86.43,54.1,84.2,41.47,104.68,23.0467,160.12,44.34,65.45,114.13,61.78,55.38
2017-03-31,35.9225,65.88,2.7235,44.62,33.8,36.08,174.19,80.57,130.15,57.35,87.85,23.6,55.66,59.83,229.66,42.84,51.5,120.27,79.09,383.51,82.01,107.35,49.87,78.08,97.56,63.36,66.29,50.56,79.22,49.22,89.86,42.44,111.86,24.0267,167.72,43.09,73.2,131.63,59.01,51.93
2017-06-30,36.01,68.94,3.6143,50.15,31.31,33.75,153.89,76.91,141.5,55.22,91.42,24.27,55.43,66.89,221.86,44.55,51.94,124.86,84.25,422.7,80.72,104.35,43.97,65.85,90.54,59.9,67.5,52.35,82.71,42.72,87.16,44.86,115.51,25.2267,159.94,43.2,74.14,129.12,55.4,50.34
2017-09-29,38.505,74.45,4.4667,48.33,33.63,38.09,145.01,89.65,149.18,51.84,95.49,25.34,55.14,72.72,237.25,48.18,53.58,134.74,90.44,446.92,81.98,117.48,50.05,69.75,96.74,64.21,76.95,56.09,91.59,46.03,90.99,45.0,111.4,26.0467,164.29,40.67,72.83,117.65,51.77,53.96
2017-12-29,42.325,85.6,4.839,47.3,38.33,46.19,153.52,104.47,175.3,64.07,107.21,29.54,60.75,74.4,254.99,52.48,53.62,144.38,99.33,514.21,83.8,125.4,54.91,67.49,107.96,73.71,91.93,65.99,101.23,48.88,92.03,45.95,119.94,32.9633,186.21,42.81,75.51,120.69,59.3,60.74
