date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,31.1125,40.65,0.523,43.16,27.52,31.27,160.5,57.18,73.94,69.33,60.62,15.39,54.45,51.53,188.09,35.72,43.68,93.27,78.12,365.67,84.95,105.01,62.25,83.45,91.66,72.9905,63.6,51.185,78.6,43.88,81.96,40.55,95.63,27.4167,151.45,36.08,69.33,107.13,56.6,37.72
2015-06-30,31.355,44.15,0.5028,40.3,27.45,30.41,162.66,51.5,81.01,62.63,67.76,17.02,56.26,55.22,208.83,38.78,43.4,95.65,77.72,345.91,83.16,96.44,61.4,86.16,87.52,77.7186,62.59,52.3,80.54,43.06,78.2,39.21,93.34,23.6367,135.06,41.14,65.38,105.94,55.7,36.08
2015-09-30,27.57,44.22,0.6158,36.1,26.23,30.12,144.87,49.5,82.19,53.71,60.94,15.56,51.3,49.6,173.57,31.47,40.99,89.17,74.1,297.22,74.25,78.87,47.94,68.91,72.79,66.1133,60.09,46.31,76.83,35.33,71.83,40.11,94.24,21.61,144.55,41.82,63.47,109.03,56.11,38.96
2015-12-31,26.305,55.45,0.824,36.52,27.15,34.44,137.57,54.81,93.9,49.98,66.02,16.83,54.33,51.75,180.07,31.8,42.65,95.31,69.53,340.36,77.92,89.93,46.68,69.72,70.78,67.5927,70.71,51.83,81.79,34.03,79.39,42.95,99.88,20.4333,161.5,44.84,66.6,127.28,57.64,40.99
2016-03-31,27.24,55.22,0.8903,40.91,28.47,32.34,151.46,57.41,93.78,51.14,59.22,13.51,48.35,41.74,156.98,25.0,40.57,84.54,61.43,340.3,83.6,95.39,40.26,73.75,72.58,68.44,64.15,37.15,86.6,35.72,82.31,46.37,102.49,22.83,157.57,40.12,70.66,134.54,63.35,46.73
2016-06-30,23.9,51.17,1.1752,40.91,28.68,32.8,151.82,62.64,95.8,53.56,62.16,13.26,47.35,42.4,148.62,25.99,40.33,81.39,60.74,342.48,93.73,104.82,43.59,79.08,83.39,75.56,50.99,37.96,79.34,45.27,84.67,45.32,105.94,24.34,157.04,45.5,73.18,137.44,71.33,50.73
2016-09-30,28.2525,57.58,1.7125,39.27,31.71,37.73,158.82,70.16,108.53,68.49,66.58,15.65,44.28,47.23,161.27,32.05,42.88,90.08,64.03,362.24,87.28,102.91,43.46,78.63,96.69,72.92,52.99,40.57,80.56,44.87,89.53,42.32,108.76,24.0333,152.51,43.89,74.11,126.13,63.87,49.01
2016-12-30,28.96,62.15,2.6683,38.45,30.24,36.29,165.99,72.98,102.95,65.21,86.33,22.14,55.12,59.43,239.6,42.25,51.38,116.96,74.08,380.76,90.26,117.78,50.14,83.95,101.1,71.23,68.34,50.36,86.41,54.09,84.19,41.46,104.67,23.0433,160.1,44.33,65.44,114.12,61.77,55.37
2017-03-31,35.9175,65.86,2.7233,44.61,33.79,36.07,174.17,80.56,130.13,57.33,87.84,23.59,55.65,59.82,229.63,42.83,51.49,120.24,79.08,383.5,82.0,107.34,49.86,78.07,97.55,63.35,66.28,50.55,79.21,49.21,89.85,42.43,111.85,24.02,167.7,43.08,73.19,131.62,59.0,51.92
2017-06-30,36.0075,68.92,3.6125,50.14,31.3,33.74,153.88,76.9,141.43,55.21,91.41,24.26,55.42,66.88,221.77,44.54,51.93,124.83,84.24,422.54,80.71,104.34,43.96,65.84,90.52,59.89,67.49,52.34,82.7,42.71,87.15,44.85,115.5,25.2233,159.91,43.19,74.13,129.11,55.39,50.33
2017-09-29,38.5,74.44,4.4665,48.32,33.62,38.08,145.0,89.64,149.15,51.83,95.48,25.33,55.13,72.71,237.2,48.17,53.57,134.73,90.42,446.87,81.96,117.46,50.04,69.74,96.73,64.2,76.93,56.08,91.58,46.02,90.98,44.99,111.39,26.0433,164.28,40.66,72.82,117.63,51.76,53.95
2017-12-29,42.3225,85.59,4.8383,47.29,38.32,46.18,153.51,104.46,175.29,64.06,107.19,29.53,60.75,74.42,254.98,52.47,53.61,144.37,99.32,514.15,83.79,125.39,54.9,67.48,107.95,73.7,91.92,65.98,101.22,48.87,92.02,45.94,119.93,32.9567,186.2,42.8,75.5,120.68,59.29,60.73
2018-03-29,41.9775,91.24,5.8075,45.76,42.71,51.79,153.44,103.86,216.08,55.4,109.94,29.97,52.41,69.05,251.73,53.96,50.5,151.19,93.62,541.52,74.62,114.06,59.3,64.78,105.27,64.96,92.71,73.13,95.93,46.94,79.28,43.44,109.15,29.65,187.82,41.72,71.69,110.13,45.05,59.96
2018-06-29,45.7275,98.61,5.9223,44.06,43.03,49.72,139.72,110.24,243.58,56.13,104.32,28.2,55.47,66.94,220.58,47.41,50.02,135.12,98.0,499.4,82.82,126.39,69.63,67.04,124.45,83.68,110.83,70.17,112.31,45.06,78.06,43.86,108.88,28.5533,208.97,41.02,64.82,105.34,44.26,68.29
2018-09-28,56.44,114.46,7.0278,51.55,48.66,47.29,151.19,107.29,269.97,72.03,112.83,29.46,52.56,71.75,224.37,46.56,52.8,136.18,106.5,471.35,85.02,122.27,77.4,60.92,127.57,82.15,113.75,80.58,112.7,40.51,83.22,46.18,111.8,31.3067,234.89,42.96,66.94,113.61,42.91,73.24
2018-12-31,39.4825,101.66,3.3373,45.15,43.4,46.95,113.61,94.5,226.37,56.91,97.72,24.66,46.1,52.04,167.07,39.66,45.71,116.87,95.3,393.01,68.21,108.81,62.35,36.15,87.21,61.38,74.98,59.0,86.15,26.56,91.94,47.33,110.46,31.0467,203.73,40.02,59.52,113.97,38.94,62.67
2019-03-29,47.485,117.94,4.489,53.71,53.99,53.7,141.07,106.06,266.42,57.03,101.25,27.57,48.32,62.24,191.94,42.21,48.17,122.68,109.32,427.36,80.79,123.16,66.79,43.58,95.18,66.2,84.83,59.85,95.15,29.29,104.04,46.85,122.52,32.5067,242.19,49.9,68.52,123.92,51.75,66.75
2019-06-28,49.4775,133.92,4.1038,56.84,54.62,47.87,137.92,114.56,294.63,76.05,111.77,29.0,47.3,69.97,204.48,43.81,52.35,137.06,123.46,468.71,76.61,124.32,61.03,39.73,93.18,50.25,85.62,55.88,93.48,22.74,109.46,50.9,131.04,36.81,264.13,53.89,71.62,133.31,52.54,70.6
2019-09-30,55.9925,139.01,4.35,55.02,49.41,51.52,145.41,129.24,276.25,76.25,117.67,29.17,50.44,69.08,207.19,42.67,55.32,140.13,118.25,445.41,70.6,118.6,56.98,34.16,74.21,44.48,85.28,60.74,102.36,18.85,124.36,54.43,137.12,39.56,288.11,55.32,73.5,142.02,55.11,79.36
2019-12-31,73.345,157.48,5.8838,52.97,47.95,59.81,133.97,128.25,329.74,88.23,139.37,35.2,53.78,79.89,229.82,51.1,59.29,159.58,124.46,502.4,69.75,120.45,65.01,40.18,83.72,41.19,93.62,60.23,111.33,24.46,124.82,55.33,136.62,39.5967,293.84,55.07,68.82,137.52,53.55,85.51
2020-03-31,63.5725,157.64,6.59,48.33,39.28,54.12,110.86,99.92,318.38,67.65,90.12,21.21,28.68,42.08,154.61,34.01,34.45,95.72,85.61,439.23,37.93,72.36,30.73,13.49,35.9,11.57,45.29,23.59,53.47,6.84,110.01,44.22,120.03,37.8533,285.13,50.07,66.35,127.87,52.79,45.63
2020-06-30,91.1475,203.46,9.483,55.25,46.63,59.81,120.66,126.92,435.08,91.17,93.98,23.73,25.57,51.09,197.46,48.3,36.81,105.17,95.14,543.45,44.68,89.22,42.01,18.38,50.64,18.29,58.81,37.36,71.85,12.98,119.46,44.63,132.17,39.8867,303.02,51.1,73.24,141.24,61.56,54.61
2020-09-30,115.61,210.11,13.5183,59.67,39.36,51.76,121.6,142.7,489.63,117.6,96.19,24.07,23.49,43.05,200.81,48.33,35.81,109.84,100.22,563.5,34.31,71.96,32.83,15.55,35.92,10.0,43.31,29.33,51.81,12.04,138.86,49.26,138.24,46.6233,354.84,57.42,77.11,147.52,61.65,62.18
2020-12-31,132.58,222.18,13.0528,64.67,44.73,49.83,125.8,164.08,499.7,152.2,126.96,30.3,30.17,61.62,263.39,68.51,46.58,148.92,120.89,721.09,41.2,84.39,39.94,21.81,49.83,17.3,56.54,41.35,69.88,18.9,138.99,54.81,148.2,48.0267,376.55,58.43,85.39,134.77,58.78,74.25
