date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,40.944,-5.2381,62.9139,-25.2395,-4.9406,26.1068,8.5388,31.8182,-27.2806,-14.9946,1.4454,-98.9218,-11.4748,-92.9286,104.3421,,-36.8326,-86.4583,-35.2816,-147.0874,-47.0436,-72.4486,-67.3611,-3.6473,-57.6417,-79.1991,487.2951,55.3525,-3.2904,-14.8847,-13.5556,47.6548,49.1713,-25.1389,26.2272,51.1265,-11.3415,-95.4233,-2.3906,4.6579
2015-06-30,46.1531,-28.0114,69.7917,1.5934,14.5626,-36.9155,8.4334,5.8065,28.2824,-20.838,1.4454,-98.9218,49.0275,-92.9286,104.3421,339.9618,48.0216,-8.7742,31.8125,36.1789,-13.8208,-8.3873,-44.41,-12.6364,-54.1309,-71.9219,105.3792,13.2118,71.9277,5.5308,-11.4958,4.1128,0.0,-5.1166,-17.5168,-9.7354,-12.8295,-8.3135,20.1518,7.7912
2015-09-30,1.6981,2.8729,18.0556,-12.5892,11.0397,0.7377,8.5319,1.88,34.25,4.0148,1.4454,-4.6394,25.727,279.0679,104.3421,-73.7124,390.378,80.5405,-3.0262,5.2181,-25.9923,-38.2488,-50.0387,-17.6223,-51.5751,-61.1069,-27.0096,-0.8349,234.965,-96.8974,-2.6149,-6.7541,-0.1741,37.3389,22.0903,7.6825,-11.7647,-13.0123,30.8136,7.7912
2015-12-31,-18.5606,29.447,15.3499,-52.8249,36.0388,-5.9608,-12.8734,13.6792,13.699,15.8629,-43.7591,50.5876,25.727,279.0679,65.3574,-73.7124,192.2633,91.5423,15.9318,-8.9693,-40.9305,-29.8599,-43.2231,-44.3394,-70.8206,-66.3294,-51.1535,111.3402,71.6743,-22.9765,30.4221,-18.8923,-0.2098,-4.1775,-28.1028,-4.0199,-7.1744,12.7119,35.8374,61.4283
2016-03-31,-39.2013,8.3281,29.6748,56.2086,0.7895,-8.154,53.1856,7.225,171.8504,15.8629,-43.7591,4347.7551,135.1491,279.0679,65.3574,-73.7124,-27.984,6.1538,18.9558,-11.002,-39.835,-50.7978,-79.6422,-31.6384,-69.6432,22.8164,-55.3385,-72.2689,-80.9172,-22.9765,-7.714,-61.6264,12.963,39.2937,-12.1111,-60.9929,-15.5433,2665.0,1.1888,27.4564
2016-06-30,-29.0499,23.5801,22.6994,-16.7661,-7.7332,11.7733,-10.9451,35.2439,3.6546,-13.0435,-43.7591,4347.7551,-344.2762,32.9293,65.3574,163.6028,-13.548,-65.7001,-68.184,-53.5323,-48.601,-64.9446,-36.2209,-21.5762,-43.2994,-0.2484,-0.4294,128.0684,-19.061,-22.9765,3.7864,-9.2551,12.4849,54.4908,51.2612,-7.2685,42.3387,11.399,-8.1211,35.8534
2016-09-30,22.6939,34.3845,79.6078,-0.102,-1.3015,0.401,-2.8093,3.9744,43.6622,23.753,-83.3148,-46.3328,-344.2762,-69.5074,65.3574,163.6028,-80.5886,-23.4531,-51.212,-21.5396,-41.6285,-0.9142,-33.8159,-44.711,-32.8655,-36.6472,-36.6373,-62.1141,-38.5525,3903.8462,-14.4997,-11.2775,-7.3991,-1.081,51.2612,-4.7562,12.6554,11.6608,-13.9476,35.8534
2016-12-30,-0.8338,12.015,41.0959,116.7665,-3.8246,50.1751,-24.6259,-4.0802,53.0425,-42.0957,140.6816,-46.3328,-344.2762,-69.5074,-48.9226,163.6028,-17.1079,-37.4026,19.8421,3.0251,68.8584,-18.6526,-9.5865,-7.5758,30.6801,-5.1813,104.9281,23.7805,-55.4442,19.661,-33.0357,-3.0402,0.8936,-5.2204,244.3896,-26.5976,-2.0214,30.9774,-2.3721,-47.2236
2017-03-31,6.4132,2.8263,-11.5987,-23.6492,10.0849,-3.8718,-28.481,21.7458,46.8001,11.2619,-5.4997,-46.3328,122.1508,-467.2862,-33.3202,-97.8453,152.9738,476.087,-54.1321,70.9735,69.8462,231.0254,325.1781,-45.7851,207.9824,-26.7054,54.375,235.7576,-55.4442,19.661,-7.2605,26.4901,0.8936,-13.047,-37.6738,-22.6872,12.5407,-21.1573,-17.8627,-14.8197
2017-06-30,-16.3344,30.0213,252.5,18.5244,4.7931,22.4187,0.2313,-17.3129,31.9434,-90.7609,-5.4997,-34.8176,41.0225,-467.2862,-33.3202,-97.8453,11.6655,25.9794,365.5738,187.7944,53.7287,96.4046,39.0786,-47.4265,114.3267,130.2615,-22.5097,-62.3732,61.4719,19.661,-10.8964,-19.8383,-12.7766,-31.6205,-13.6095,3.5398,-13.0312,-4.0698,-16.1362,22.5352
2017-09-29,-4.742,7.715,152.8384,11.7617,12.8205,8.7878,-13.2621,17.5427,36.0217,16.3148,-5.4997,44.3513,41.0225,122.6916,-33.3202,-97.8453,236.1011,69.8827,145.4026,194.3396,40.7096,3.5022,-17.5781,34.9929,26.5649,67.0769,20.1622,370.6173,-54.5866,6.244,20.0331,-13.1932,3.4705,17.5258,-13.6095,3.5398,-0.7021,-15.0844,59.2503,-67.404
2017-12-29,3.8885,25.139,88.2108,-21.7311,7.9003,-11.1534,44.0814,39.0771,19.7842,11.0971,-61.2526,67.2419,-97.0823,122.6916,-33.3202,-97.8453,236.1011,-37.5104,48.4731,18.2886,0.2028,64.3647,71.9335,11.8231,64.9651,55.3005,66.3327,170.4433,189.5052,-4.5326,22.8,-43.1259,2.4486,-5.1715,-28.1776,5.6471,-7.8883,-0.9185,37.915,120.6276
2018-03-29,22.5597,13.9869,412.4113,22.638,-28.3724,61.2109,16.359,39.8742,35.4931,-37.0732,-55.6319,67.2419,15.9233,122.6916,71.555,13953.3333,-55.047,83.7736,77.8448,14.0244,4.2335,33.5187,34.0223,-13.4146,72.8376,99.802,-86.0324,170.4433,189.5052,11340.0,10.2961,-19.7644,-578.2383,-4.1597,-77.8905,5.6471,-10.8538,24.3119,-2.0334,-57.625
2018-06-29,62.8414,3.7528,29.5035,4.3439,2.4744,57.4888,-33.8142,99.1276,51.4214,1107.6471,776.1355,67.2419,80.3745,122.6916,71.555,10.6674,104.8458,164.6481,-2.9129,6.25,11.9908,37.8998,90.8624,15.035,80.0501,-5.0297,14.5799,179.7186,26.756,176.3006,13.8557,-19.5888,-1.964,-0.6862,31.071,-5.3724,10.9121,-4.6061,-6.6781,-10.5871
2018-09-28,23.9634,9.783,-57.9447,2.3759,22.1753,41.0441,18.5102,22.2997,35.6126,1107.6471,776.1355,-1.8915,-31.1336,34.3818,71.555,159.6257,73.2009,-55.3338,18.3616,-59.4551,47.4187,74.0768,223.2227,-3.7408,127.7596,121.3628,-52.1697,-37.9853,45.1372,-29.7468,-1.7626,22.3016,-5.2262,9.0,-15.2672,-5.3724,-9.3939,-14.0373,2.862,227.5687
2018-12-31,-5.6657,13.0159,-33.8246,-35.7647,-6.7076,-4.7093,-28.1528,11.1975,32.9772,-79.7957,-97.201,-96.0845,10715.8273,34.3818,71.555,159.6257,73.2009,183.7981,18.3616,-62.9078,16.1382,50.1887,52.4788,3.554,57.0736,75.9324,1.0843,-0.6557,114.3449,-15.727,8.7676,64.2918,19.0694,-7.3778,8.5244,14.8664,13.5705,9.9652,-19.1744,-23.9625
2019-03-29,-26.2723,11.2666,-50.173,-13.565,79.1805,-21.0853,3.4116,-0.4496,2.4098,53.876,-130.3683,-62.5787,-47.7938,34.3818,-4502.4896,34.7328,-9.6234,-52.0534,314.2996,-59.5745,-2.1247,0.2776,20.6336,-42.6056,3.5823,-6.0456,535.5072,-0.6557,114.3449,-15.727,4.8911,28.5481,73.644,-30.963,8.5244,14.2506,-1.7857,-41.5129,11.0114,138.3384
2019-06-28,-19.6853,41.0755,2.5192,-5.1073,-3.8537,2.3472,28.204,-1.6429,13.661,139.1135,-130.3683,-3.1758,21.2014,34.3818,7.8041,34.7328,-81.2903,38.7137,-3.396,-35.4342,-23.5604,28.1255,-13.4949,12.2594,38.3663,14.6355,-26.3235,9.891,-18.3587,-52.8243,-1.1431,79.1124,-27.6711,28.4462,0.0,-25.0323,-5.4332,-22.6175,10.4435,1.1153
2019-09-30,1.9823,1.1789,236.7556,-10.7409,-4.6771,21.2337,-14.4849,-5.4131,-3.4429,139.1135,21.4269,-3.1758,21.2014,-88.9732,7.8041,-8.4312,-5.5504,-48.11,-3.396,-26.4032,-18.2661,-18.3091,-31.4663,-4.4882,-5.8428,6.198,188.1048,135.7868,185.567,12.0978,16.8769,8.9877,0.823,-46.0164,47.5547,18.9189,1.8952,28.0347,-5.8117,-36.7206
2019-12-31,14.335,20.0,63.1403,-6.044,0.079,43.3043,-16.2175,-18.2284,24.2788,214.0449,19523.4597,-3.1758,-17.3673,227.0549,261.7032,98.1056,-5.5504,45.7651,-3.396,140.153,-26.1996,-38.1816,-21.1737,-3.3891,-13.3417,-25.52,1.7878,-11.6612,-59.0722,36.9718,8.9094,39.3908,-2.0713,2.5945,-3.4451,0.9695,12.529,-2.6344,12.0897,-9.8594
2020-03-31,19.3277,29.4675,26.25,5.2779,-2.1252,24.1783,-5.9466,-23.1256,30.7418,36.398,-48.478,26.1042,117.2431,32.122,-19.5253,39.8744,81.6358,45.7651,-3.396,-316.8889,-24.7541,-6.6245,-27.2633,140.4908,60.7767,41.2447,1.7878,-11.6612,-59.0722,36.9718,15.553,-29.4416,-117.1014,96.9408,-3.4451,-38.9247,26.9421,122.082,11.4245,-27.5872
2020-06-30,39.8333,15.9238,67.4145,-18.2723,-3.5515,47.0542,21.5913,-4.2316,6.6866,-61.866,-48.478,55.3011,117.2431,32.122,-19.5253,39.8744,81.6358,34.9532,-27.3038,85.141,-24.7541,-99.0891,-94.5694,-27.5271,-62.3497,-82.1162,-51.4832,-79.4813,-60.4145,32.5942,15.7793,-39.9407,27.5822,56.6387,-9.8337,168.1583,59.3168,159.2775,94.5599,-48.3537
2020-09-30,3.3451,39.9262,-22.0122,-0.7833,14.1901,-23.6392,18.4029,-27.5602,55.6785,41.8908,-48.478,-472.3957,33.9037,32.122,257.4381,39.8744,7.8135,-34.9338,-27.3038,6.8743,-51.6577,-54.7525,-62.8584,-72.5501,-41.1155,-66.6275,-88.4535,-52.6014,-70.4573,-51.7796,13.6723,2.2328,26.8299,16.9946,84.9978,-9.4498,5.2516,-36.9074,2.0101,442.5571
2020-12-31,27.0252,17.191,41.0922,170.5653,-21.7368,4.8746,69.8059,21.1517,29.4118,183.9893,-48.478,-7.6291,33.9037,-92.749,-78.2477,-18569.1176,-1624.1935,49.5666,9.5119,57.5637,-36.949,-60.4384,-43.9302,-61.0124,-37.9643,-26.5843,-94.3794,-44.8734,-62.2786,-45.3299,24.2896,34.2222,-2.0933,23.1243,25.9277,-20.8353,-0.7216,-4.0043,-4.6693,-99.0111
2021-03-31,80.1593,26.7082,106.1606,22.9748,-8.4258,-9.9058,9.7855,117.3913,33.7358,168.7904,63.4671,-7.6291,33.9037,-92.749,90.2265,12.7664,-60.1954,49.5666,9.5119,38.9126,47.657,-11.1393,-1.1876,-45.2806,-27.6573,-32.0388,-6.1224,-44.8734,24.8848,-9.7778,0.5659,194.2446,4.0053,-59.2703,-93.8611,222.1831,-22.1354,-54.4034,11.0779,67.6253
