date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,31.1075,40.655,0.5231,43.15,27.525,31.27,160.5,57.185,73.94,69.34,60.58,15.39,54.4,51.52,187.97,35.69,43.67,93.24,78.12,365.84,85.0,104.98,62.26,83.44,91.69,72.9705,63.62,51.195,78.6,43.88,81.94,40.55,95.62,27.4167,151.495,36.09,69.34,107.11,56.6,37.73
2015-06-30,31.3563,44.15,0.5028,40.3,27.46,30.415,162.66,51.51,81.01,62.63,67.76,17.02,56.24,55.24,208.79,38.79,43.4,95.65,77.72,345.98,83.2,96.47,61.41,86.19,87.55,77.7386,62.6,52.31,80.56,43.07,78.24,39.23,93.34,23.6433,135.06,41.14,65.41,105.97,55.72,36.1
2015-09-30,27.575,44.26,0.6163,36.12,26.25,30.14,144.97,49.52,82.22,53.73,60.97,15.58,51.35,49.61,173.76,31.5,41.01,89.2,74.13,297.47,74.35,78.88,47.96,68.97,72.8,66.1233,60.1,46.33,76.84,35.35,71.94,40.12,94.3,21.6133,144.57,41.87,63.46,109.04,56.13,38.97
2015-12-31,26.315,55.48,0.824,36.53,27.155,34.45,137.62,54.81,93.94,49.985,66.03,16.83,54.36,51.75,180.23,31.81,42.67,95.31,69.55,340.52,77.95,89.96,46.69,69.75,70.79,67.5827,70.71,51.84,81.8,34.04,79.41,42.96,99.92,20.4333,161.5,44.84,66.62,127.3,57.66,41.0
2016-03-31,27.2475,55.23,0.8908,40.91,28.47,32.35,151.45,57.42,93.8,51.14,59.22,13.52,48.36,41.75,156.98,25.01,40.59,84.57,61.4,340.57,83.59,95.4,40.27,73.75,72.58,68.43,64.14,37.18,86.59,35.72,82.31,46.39,102.48,22.83,157.58,40.12,70.65,134.51,63.35,46.73
2016-06-30,23.9,51.17,1.1752,40.93,28.69,32.8,151.78,62.65,95.79,53.57,62.14,13.27,47.33,42.39,148.58,25.98,40.33,81.39,60.76,342.53,93.74,104.83,43.6,79.08,83.42,75.56,51.0,37.96,79.34,45.29,84.67,45.33,105.94,24.34,157.04,45.51,73.2,137.48,71.32,50.74
2016-09-30,28.2625,57.6,1.713,39.28,31.72,37.75,158.85,70.18,108.54,68.5,66.59,15.65,44.28,47.23,161.27,32.06,42.89,90.09,64.04,362.46,87.28,102.92,43.47,78.64,96.71,72.92,53.0,40.59,80.55,44.88,89.75,42.32,108.77,24.04,152.51,43.9,74.14,126.14,63.88,49.01
2016-12-30,28.955,62.14,2.6685,38.45,30.22,36.27,165.99,72.97,102.95,65.2,86.29,22.1,55.11,59.43,239.45,42.25,51.37,116.96,74.08,380.54,90.26,117.7,50.14,83.95,101.1,71.23,68.32,50.35,86.41,54.09,84.08,41.46,104.63,23.04,160.11,44.33,65.44,114.12,61.77,55.37
2017-03-31,35.915,65.86,2.7233,44.61,33.8,36.07,174.14,80.56,130.13,57.34,87.84,23.59,55.66,59.82,229.72,42.84,51.5,120.24,79.11,383.51,82.01,107.37,49.87,78.1,97.55,63.36,66.29,50.54,79.22,49.21,89.85,42.44,111.86,24.0267,167.69,43.08,73.19,131.63,59.01,51.92
2017-06-30,36.005,68.93,3.614,50.14,31.3,33.74,153.83,76.93,141.44,55.22,91.4,24.26,55.41,66.88,221.9,44.56,51.92,124.87,84.24,422.41,80.73,104.33,43.96,65.84,90.52,59.87,67.46,52.33,82.69,42.71,87.15,44.85,115.49,25.2267,159.93,43.19,74.13,129.11,55.4,50.33
2017-09-29,38.53,74.49,4.4693,48.35,33.63,38.08,145.08,89.64,149.18,51.84,95.51,25.34,55.15,72.74,237.19,48.17,53.59,134.77,90.46,447.09,81.98,117.5,50.05,69.76,96.74,64.21,76.93,56.08,91.61,46.03,90.98,45.01,111.43,26.0467,164.29,40.66,72.85,117.68,51.76,53.95
2017-12-29,42.3075,85.54,4.8375,47.28,38.3,46.16,153.42,104.44,175.24,64.02,106.94,29.52,60.67,74.41,254.76,52.47,53.58,144.29,99.31,513.71,83.64,125.19,54.89,67.39,107.91,73.66,91.91,65.98,101.15,48.87,91.88,45.88,119.92,32.9167,186.12,42.8,75.45,120.66,59.29,60.73
2018-03-29,41.945,91.27,5.7898,45.75,42.89,52.08,153.43,103.89,216.08,55.41,109.97,29.99,52.41,67.5,251.86,53.96,50.5,151.24,93.28,541.72,74.61,114.04,59.29,64.78,105.27,64.96,92.77,73.11,95.92,46.94,79.28,43.43,109.15,29.6567,188.43,41.73,71.68,110.13,45.06,59.96
2018-06-29,46.2775,98.61,5.9225,44.06,43.03,49.71,139.7,110.25,243.81,56.12,104.2,28.19,55.44,66.92,220.57,47.4,50.02,135.1,98.0,499.04,82.73,126.43,69.62,67.03,124.43,83.68,110.83,70.16,112.31,45.06,78.06,43.86,108.87,28.55,208.98,41.0,64.81,105.34,44.26,68.29
2018-09-28,56.435,114.37,7.0255,51.56,48.65,47.29,151.21,107.29,269.95,72.03,112.84,29.46,52.56,71.74,224.24,46.57,52.81,136.19,106.49,471.33,85.02,122.28,77.4,60.92,127.57,82.17,113.75,79.97,112.72,40.53,83.23,46.19,111.8,31.3033,234.88,42.96,66.95,113.64,42.92,73.25
2018-12-31,39.435,101.57,3.3375,45.15,43.33,46.93,113.67,94.5,226.24,56.91,97.62,24.64,46.08,52.06,167.05,39.65,45.7,116.91,95.32,392.82,68.19,108.79,62.35,36.08,87.21,61.38,74.97,59.01,86.15,26.58,91.92,47.35,110.48,31.05,203.71,40.03,59.52,113.94,38.94,62.66
2019-03-29,47.4875,117.94,4.489,53.71,53.99,53.7,141.1,106.07,266.49,57.03,101.23,27.59,48.32,62.22,191.99,42.2,48.19,122.66,109.3,427.37,80.8,123.18,66.74,43.57,95.18,66.2,84.83,59.85,95.17,29.3,104.05,46.86,122.55,32.51,242.14,49.92,68.54,123.9,51.75,66.76
2019-06-28,49.48,133.96,4.1057,56.97,54.73,47.87,137.9,114.76,294.65,76.07,111.8,29.0,47.32,70.03,204.6,43.81,52.4,137.28,123.44,469.3,76.63,124.44,61.0,39.74,93.16,50.28,85.61,55.88,93.54,22.74,109.65,50.92,131.13,36.83,264.26,53.9,71.67,133.28,52.52,70.72
2019-09-30,55.9925,139.03,4.3518,55.03,49.41,51.53,145.42,129.24,276.25,76.28,117.69,29.17,50.44,69.08,207.23,42.67,55.34,140.16,118.28,445.64,70.61,118.6,56.98,34.17,74.22,44.47,85.24,60.75,102.4,18.85,124.38,54.44,137.1,39.56,288.11,55.32,73.51,142.05,55.12,79.4
2019-12-31,73.4125,157.7,5.8825,52.98,47.96,59.85,134.04,128.29,329.81,88.23,139.4,35.22,53.8,79.89,229.93,51.12,59.29,159.63,124.49,502.7,69.78,120.51,65.03,40.2,83.76,41.21,93.65,60.25,111.41,24.47,124.9,55.35,136.67,39.6133,293.92,55.08,68.84,137.55,53.56,85.54
2020-03-31,63.5725,157.71,6.59,48.33,39.31,54.12,110.93,99.93,318.24,67.65,90.03,21.23,28.7,42.12,154.59,34.0,34.45,95.72,85.61,439.97,37.97,72.46,30.8,13.49,35.92,11.58,45.36,23.62,53.65,6.85,110.0,44.25,120.1,37.8733,285.13,50.08,66.36,127.87,52.77,45.63
2020-06-30,91.2,203.51,9.4978,55.27,46.64,59.83,120.77,126.97,435.31,91.21,94.06,23.75,25.6,51.1,197.62,48.3,36.82,105.21,95.2,544.09,44.72,89.23,42.02,18.39,50.66,18.3,58.82,37.38,71.9,12.98,119.57,44.68,132.26,39.9267,303.21,51.13,73.26,141.35,61.65,54.66
2020-09-30,115.81,210.33,13.5305,59.7,39.39,51.78,121.67,142.79,490.43,117.68,96.27,24.09,23.51,43.11,200.97,48.35,35.85,109.91,100.25,563.55,34.33,72.0,32.84,15.56,35.94,10.01,43.32,29.34,51.84,12.05,138.99,49.37,138.6,46.6367,355.0,57.45,77.15,147.66,61.68,62.22
