date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,0.47,1.18,0.0085,0.48,0.78,0.915,4.4,1.28,,1.68,1.58,0.16,1.4,0.04,2.3,0.4,0.98,1.92,1.04,7.97,2.76,4.28,2.88,1.7,0.585,2.88,1.2,0.96,2.0,0.66,2.5744,1.245,2.62,0.6433,6.42,0.59,1.44,3.4,1.64,1.18
2015-06-30,0.4825,1.21,0.0088,0.51,0.78,0.93,4.6,1.32,,1.74,1.6,0.2,1.425,0.08,2.4,0.45,0.99,1.95,1.07,8.22,2.8,4.28,2.92,1.8,0.6275,2.91,1.35,1.0,2.06,0.69,2.5937,1.27,2.6675,0.6467,6.465,0.6,1.46,3.44,1.67,1.19
2015-09-30,0.495,1.24,0.0091,0.54,0.8,0.945,4.8,1.36,,1.8,1.64,0.2,1.45,0.12,2.5,0.5,1.0,1.98,1.07,8.47,2.84,4.28,2.93,1.9,0.67,2.94,1.475,1.07,2.12,0.72,2.613,1.295,2.715,0.65,6.51,0.62,1.48,3.48,1.7,1.2
2015-12-31,0.5075,1.29,0.0099,0.57,0.82,0.96,5.0,1.4,,1.86,1.68,0.2,1.475,0.16,2.55,0.55,1.01,2.01,1.1,8.72,2.88,4.28,2.94,2.0,0.67,2.97,1.7,1.14,2.18,0.72,2.6323,1.32,2.7625,0.6533,6.555,0.64,1.5,3.52,1.73,1.2
2016-03-31,0.52,1.34,0.0106,0.6,0.84,0.98,5.2,1.44,,1.92,1.72,0.2,1.5,0.2,2.6,0.6,1.02,2.04,1.13,8.83,2.92,4.28,2.46,2.0,0.67,3.0,1.9,1.21,2.24,0.72,2.6516,1.34,2.81,0.6567,1.6,0.66,1.52,3.56,1.76,1.22
2016-06-30,0.5325,1.39,0.0111,0.6,0.89,1.0,5.3,1.48,,1.97,1.76,0.2,1.505,0.2,2.6,0.6,1.02,2.04,1.16,8.94,2.94,4.28,1.98,2.0,0.67,3.0,2.1,1.28,2.31,0.72,2.6582,1.36,2.86,0.66,1.65,0.68,1.53,3.6,1.78,1.23
2016-09-30,0.545,1.44,0.0115,0.6,0.94,1.02,5.4,1.52,,2.02,1.8,0.225,1.51,0.31,2.6,0.65,1.045,2.08,1.16,9.05,2.96,4.28,1.49,2.0,0.67,3.01,2.3,1.32,2.38,0.72,2.6648,1.38,2.91,0.6633,1.7,0.7,1.54,3.64,1.82,1.23
2016-12-30,0.5575,1.47,0.0121,0.6,0.99,1.04,5.5,1.64,,2.07,1.84,0.25,1.515,0.42,2.6,0.7,1.07,2.12,1.19,9.16,2.98,4.29,1.0,2.0,0.67,3.02,2.4,1.36,2.45,0.72,2.6714,1.4,2.96,0.6667,1.75,0.72,1.55,3.68,1.86,1.24
2017-03-31,0.57,1.5,0.0128,0.6,1.04,1.04,5.6,1.76,,2.12,1.88,0.275,1.52,0.53,2.6,0.75,1.095,2.16,1.22,9.37,3.0,4.3,1.015,2.0,0.67,3.03,2.5,1.4,2.52,0.72,2.678,1.42,3.01,0.67,1.8,0.74,1.56,3.73,1.9,1.26
2017-06-30,0.585,1.53,0.0134,0.64,1.07,1.0525,5.7,1.88,,2.16,1.94,0.3,1.52,0.64,2.7,0.8,1.12,2.2,1.25,9.58,3.02,4.31,1.03,2.0,0.67,3.04,2.6,1.44,2.59,0.72,2.6981,1.44,3.0625,0.6733,8.85,0.76,1.57,3.78,1.92,1.28
