date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,37.4794,-8.1733,77.0492,-34.2014,-5.0265,194.335,11.1425,26.2338,-33.6562,-17.8919,,,,-95.2906,116.6506,,,,-38.8689,-174.6606,-85.1576,-4059.8425,-347.8261,19.63,-64.9257,-7.5316,-87.2968,60.521,-68.2809,-65.2733,-13.6809,71.4749,44.3287,-40.6928,8.2707,20.155,-7.2086,-59.2163,-7.5392,-1.4798
2015-06-30,64.3392,-38.0743,90.411,-8.6471,16.1545,-36.2667,12.9068,0.0,28.0357,-30.4175,,,,-95.2906,116.6506,581.775,,,42.8125,34.7705,1.3855,59.7143,37.6978,2.3288,-31.0679,-7.5316,244.8944,7.4653,-18.9591,70.6941,-16.876,4.3571,0.2078,-6.3228,-25.53,-8.2267,-20.0946,-19.9697,33.059,15.8046
2015-09-30,4.5947,2.3473,34.4633,-16.7305,13.5086,39.4397,14.6843,-0.7813,45.8666,8.3513,,,,279.2525,116.6506,-91.6284,,,-4.303,3.6776,-33.9447,59.7143,66.5272,-7.309,-31.0679,-7.5316,-26.5545,-20.0,-18.9591,-602.8169,6.4825,-7.0181,-0.5585,291.8182,-18.9091,20.4787,-14.3204,-15.6204,56.9137,-580.969
2015-12-31,-21.8128,26.1053,20.3883,-63.4409,37.8151,-14.581,-14.5149,11.7698,7.4002,23.6855,,,,279.2525,57.6298,-91.6284,,,12.7,-11.9679,-19.5371,8.7985,64.9838,-42.6193,-31.0679,-7.5316,-81.4815,-20.0,-286.2205,199.3333,45.5628,-32.0887,0.6415,1.4187,-83.2461,4.2105,-5.1402,44.8399,58.6623,290.8616
2016-03-31,-44.5608,-1.4672,22.2222,67.124,2.8699,13.3473,66.146,8.8477,206.0487,23.6855,,,,279.2525,57.6298,-91.6284,,,19.0909,1.9769,-81.7158,16.2408,-10.7595,-43.2131,51.8675,-7.5316,-66.7692,-20.0,-286.2205,199.3333,-9.2972,-93.5728,0.6415,77.6193,-42.0139,-9.4313,-17.3554,44.8399,-0.4763,51.5569
2016-06-30,-39.552,14.6212,20.8633,-8.7023,-6.967,-6.8141,-14.2478,36.8345,-0.1831,-2.6286,,,,34.8409,57.6298,174.3143,,,-82.2757,-55.6244,-85.2644,-358.156,-10.7595,-20.8166,70.6166,-7.5316,3.3691,155.412,145.4128,199.3333,4.9374,-9.4705,17.7812,124.7957,73.0198,3.9841,69.2308,29.1115,-14.4756,31.9382
2016-09-30,27.3816,29.6767,76.4706,2.5943,-1.9569,-27.2466,1.8552,4.4094,48.5284,28.505,,,,-71.3022,57.6298,174.3143,,,-56.1133,-21.5849,-29.643,-358.156,-10.7595,-48.6431,70.6166,-7.5316,-58.9641,155.412,-50.6667,199.3333,-22.1224,-10.6406,-9.2521,16.5893,73.0198,-12.362,20.8215,32.0069,-23.405,31.9382
2016-12-30,0.2054,19.783,35.0806,7.5163,-2.4113,49.0803,-31.2128,-0.39,65.9577,-44.1976,,,,-71.3022,-55.879,174.3143,,,26.4516,5.9307,-29.643,89.5574,-10.7595,-12.3791,70.6166,-7.5316,605.4545,172.7273,84.8114,97.3274,-40.4856,9.3227,-5.7769,-9.5556,2114.5833,-30.0505,2.2989,67.5676,-6.1679,-59.8885
2017-03-31,1.1333,11.2421,-13.6364,-28.6707,13.8768,-32.4105,-29.7114,26.276,54.9801,14.0523,,,,-209.5161,-35.6982,174.3143,,,-60.3502,69.2437,2403.7915,89.5574,-10.7595,-58.3964,82.772,-7.5316,43.2099,172.7273,-107.1138,35.8025,-9.6449,373.5294,-507.1429,-14.7841,2114.5833,-9.379,14.0,-33.6336,-18.951,-22.7049
2017-06-30,-13.7891,50.1463,287.5,9.8384,6.7849,31.1097,7.4575,-19.4532,35.5378,14.0523,,,,-209.5161,-35.6982,174.3143,,,783.642,204.186,1452.0161,89.5574,480.1587,-69.9915,82.772,784.2975,-28.8395,-87.4763,162.9907,35.8025,-11.0253,-17.9603,-17.1215,-44.0265,-23.7482,22.0307,-11.5385,-4.246,-15.8332,13.711
