date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,724773.3995,333524.8855,11505.4064,188439.0629,140507.9346,148094.72,158642.0832,59880.8344,36989.8976,114380.4945,225861.1713,161908.8869,279919.8484,156359.8039,84637.0103,70545.3193,77850.7254,48549.1074,79342.6371,60511.7871,356548.6865,197381.3405,76670.8036,106628.5077,50288.8423,56251.3477,32702.505,27950.9983,42626.9091,37283.5992,221279.7702,177142.378,141742.8766,265107.3727,66653.9026,59180.9917,62897.0638,39116.6223,33738.6921,22349.0905
2015-06-30,722577.1608,357154.7449,10819.18,174743.9091,139658.5029,144288.76,160176.8438,53589.1189,40314.2527,102096.9841,251463.2658,178745.752,289591.2936,167605.8742,94127.3063,76417.3465,76949.7205,49539.0814,78947.643,56953.9325,347868.2188,181409.68,75715.2541,109437.7535,48059.2163,59736.6398,31839.7015,28418.6782,43633.8804,36647.1626,212264.7762,170991.8278,137774.5913,228433.5111,59357.2048,66919.2571,59332.2317,38583.5903,33214.1329,21434.8267
2015-09-30,629010.2551,353990.6372,13286.35,154038.3785,133537.7618,143285.56,142002.4418,50826.622,41011.2823,84420.6914,225471.1683,162630.5824,263598.0039,149318.4211,78483.5639,61531.6432,72218.7802,45813.1069,74225.1329,48676.933,309998.5131,148431.2268,59156.6753,87278.0242,39979.6814,50535.366,29876.4202,24840.1445,41313.7642,30215.3823,195183.7405,174522.1371,138526.0554,207873.2724,63536.7326,67465.4295,57563.4218,39720.5486,33548.2028,22866.2683
2015-12-31,586859.3468,443169.418,17732.48,153470.5744,137840.928,162569.55,133506.553,55599.9244,46857.2107,75132.1533,243065.0062,175242.0299,277660.714,154162.7573,80264.1923,61591.2854,74825.8818,48398.9695,68454.3031,55842.7392,324501.0542,169308.0254,57645.4335,87961.9872,38913.7737,51636.1843,34047.1088,27629.3753,43635.4172,29131.8866,216040.6824,186832.4107,145568.5349,196276.0599,71024.0312,71258.2698,59752.9475,46209.189,34212.2851,23145.1206
2016-03-31,604304.102,436830.79,19311.46,169770.9867,143264.4875,152821.4,145525.4154,57721.9001,46919.6543,76448.538,217353.0869,139603.1234,244568.3975,122796.0867,69252.7497,48983.8069,70460.836,42378.4663,58842.4074,55815.7105,347128.9439,179653.1063,49869.0073,92425.513,39911.2742,52262.7693,30131.5678,19676.5256,45565.8735,30659.9777,222612.8006,200810.6898,149752.7405,215355.5182,69183.1455,62472.237,63027.6222,48513.6948,37655.3382,26383.9109
2016-06-30,523641.8114,402220.086,25103.34,168743.3381,144302.4348,154881.6,145703.0101,62914.8171,47731.2847,78689.7852,227224.7863,136308.3255,240296.6748,124411.6488,64513.586,50323.8943,69625.8361,40639.9584,57784.77,55958.0112,388703.3459,197573.3518,53993.6822,110018.2545,45904.0698,57708.309,23959.9332,20112.5328,41699.6348,38916.1125,225378.9925,196106.5885,153021.5362,227577.5441,68793.8142,70634.281,65368.8957,49510.371,42579.5331,28592.8014
2016-09-30,609163.4666,448848.9,36658.2,161269.7172,159055.309,178595.25,151835.8573,70405.2622,53969.0208,100944.918,240521.9095,159705.1017,223416.8372,137220.8151,68583.2921,61292.5953,73407.6748,44271.0502,59158.9278,58930.1966,361919.6035,194160.6907,53837.8179,109364.1354,53252.7382,55705.5036,24451.0683,21462.3614,42115.5115,38646.282,239577.3923,182654.3598,155996.0964,223085.7358,66809.3773,68287.988,66095.2987,45364.4949,37777.5692,27207.0771
2016-12-30,617588.4903,483160.2854,57532.86,157735.4739,151697.1106,171883.53,157832.3473,72932.4728,51189.5217,96293.0141,308768.4144,223321.5359,276779.1306,169359.4672,99960.219,79126.6995,87312.3762,56901.222,67802.1179,61673.7373,374280.5426,222190.4451,62124.8371,116800.3359,58279.8737,54433.1452,30926.0567,26575.4946,45006.6675,46758.22,224997.4437,178815.2997,150058.5783,212418.9056,70326.7735,68463.7726,58165.8591,40872.6972,35827.2975,30283.588
2017-03-31,753717.942,508935.1117,64159.77,183556.0569,169265.5479,170538.96,164251.029,80530.975,64375.0505,84693.5318,313761.2418,236181.7208,278515.5194,165394.2383,95930.7943,79946.505,87201.0108,58455.4312,71192.4526,62224.881,340055.5862,203262.472,61630.9677,108880.7907,56301.9256,48443.7551,29746.365,26678.8056,40954.4046,42661.7841,229699.4849,182153.1017,159763.2257,218619.2911,73606.0537,65675.6704,64714.5632,46827.489,33997.7485,28047.8121
2017-06-30,750897.2368,532175.0804,86013.2,207413.2355,156501.7027,158881.66,144522.8057,76647.191,69787.2987,81584.0445,324726.2674,241433.0674,276901.3907,184137.8815,90823.67,82426.2919,87499.9037,60424.7729,75291.9586,68285.111,342074.4441,197659.6137,54383.0898,91483.1561,52254.341,45775.5076,30170.2309,27145.5282,42417.5327,37066.6604,222896.0939,191624.2833,164977.6062,228137.2943,70144.2329,65531.2442,65478.4971,45824.7701,31971.3222,26936.493
