date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,38.3715,22.5281,14.3987,23.3335,15.5466,20.8318,83.2516,28.0623,4.4151,18.8112,9.8515,3.1439,13.3273,3.7193,12.0087,6.1521,14.6928,9.6601,28.3828,12.4784,16.3164,11.2875,9.8514,12.4157,12.4452,-2.5712,18.5111,29.6467,19.3626,15.2476,13.6103,22.2927,33.7604,21.5298,20.8462,8.3459,223.3493,59.9054,24.4976,16.4624
2015-06-30,41.1464,14.3559,12.3914,20.8057,15.4376,19.9689,72.6248,28.6198,5.2896,16.9549,9.8058,4.331,13.0986,5.8897,10.5304,5.792,14.4949,9.5343,27.7353,12.3351,13.4361,7.917,5.3072,11.0827,8.1072,-5.8597,21.7406,28.6215,19.7084,10.0175,10.4425,23.6106,32.7887,19.7846,20.5927,7.4816,204.747,25.0292,21.182,13.0479
2015-09-30,46.2482,15.18,13.8184,20.1205,16.4254,20.1061,103.1652,28.6874,7.0751,14.9313,10.2053,6.3534,12.974,6.5551,9.3944,4.7065,14.3572,9.5131,26.9837,11.9366,11.3518,5.5592,-2.0445,8.6429,-24.4847,-16.5319,23.1499,29.949,21.0236,1.6678,11.703,22.7782,27.6433,19.0144,20.7417,27.9879,294.9254,27.6453,23.3639,12.2777
2015-12-31,42.7123,15.175,13.7954,19.6797,17.4266,19.3786,100.9568,28.9536,9.1388,13.8886,10.3371,6.3969,12.7811,8.0271,7.4676,8.5573,14.1996,9.4821,24.3941,11.9744,9.3566,2.981,-9.6604,5.6394,-29.5183,-26.4007,19.3671,23.7702,18.917,-4.2296,13.3053,25.919,37.1939,18.1475,20.3473,26.0643,294.9254,27.6453,28.3897,16.5181
2016-03-31,39.0638,14.6928,15.6993,18.824,16.9086,19.7661,95.1417,29.7653,11.6892,14.5427,10.0351,6.4119,12.3994,7.2353,5.0923,6.5299,13.859,9.1911,23.136,11.4042,7.5827,0.8461,-14.0618,4.3772,-32.3105,-25.9969,16.9973,16.1799,16.2746,-17.0594,14.719,26.8795,38.3449,19.0199,21.7769,28.6604,294.9254,721.8543,29.1307,17.3875
2016-06-30,37.9013,25.1745,21.281,18.5509,17.4216,16.9626,81.1136,30.9615,12.924,16.1851,9.9186,6.1833,12.1244,6.6792,6.0317,6.0854,13.7507,8.9793,25.7295,11.1813,6.1353,-0.4943,-16.3897,-4.1849,-34.7604,-27.8283,14.1997,15.406,13.7472,-44.8641,17.5228,27.4743,36.3815,18.958,21.166,28.9259,294.9254,550.8427,34.198,21.7309
2016-09-30,36.9033,26.4366,24.8851,19.0094,17.2325,16.9947,78.1019,32.9976,14.0499,18.0541,9.5972,6.204,11.8627,6.4428,7.0166,6.9158,13.6282,8.7571,25.3022,11.1571,5.2385,-0.9943,-17.4919,-6.2339,-9.8764,-21.005,10.6577,8.8267,8.8592,-44.9025,17.5057,27.4724,51.1605,18.3895,20.7085,2.9175,294.9254,1129.745,34.082,24.7185
2016-12-30,34.6946,27.0678,32.5677,18.6892,15.7713,16.0945,73.0405,34.7911,16.2034,15.9106,10.1578,6.7651,11.7826,6.6374,9.1603,8.0871,13.6222,8.9008,25.6715,11.0137,4.6372,-0.3333,-9.6741,-4.3983,-8.1463,-2.504,11.2895,8.7632,6.8367,-46.3431,26.7136,26.6291,55.136,17.2321,21.1647,6.24,294.9254,1129.745,36.3594,32.1578
2017-03-31,34.5734,28.6133,38.0519,18.4837,15.6537,17.5507,69.8184,37.579,17.8995,14.6715,10.4718,7.4301,11.7449,6.747,10.6364,9.1259,13.5638,9.1141,24.5355,11.7255,5.748,1.9603,-4.1912,-5.026,-4.5295,-2.3848,10.3703,9.2638,7.5523,-30.8021,26.6999,25.8297,59.3592,18.2745,20.3413,6.4947,294.9254,1782.8571,36.3754,33.4288
2017-06-30,36.0287,29.8464,43.7578,18.4559,14.8146,19.4275,66.9634,39.4194,19.1759,12.5797,10.7208,7.4674,11.6725,6.615,10.6723,9.2265,13.366,9.2865,21.2285,11.8335,6.6844,3.9746,-11.5848,0.431,-2.1633,0.512,9.0521,6.7749,7.7815,-1.5763,27.7723,17.0607,55.4009,16.6486,23.7256,6.6364,294.9254,1442.2819,35.8065,38.9858
