date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,15.3999,15.8342,18.3672,17.7086,15.1689,13.2692,8.7748,19.929,123.7073,13.3489,9.9684,11.0506,13.3007,13.3123,9.4056,16.8021,13.3264,13.1804,14.8007,18.6922,12.883,13.2965,18.7269,15.4072,27.2927,161.1564,10.1517,10.1241,13.9402,11.6317,19.9985,19.2543,20.6159,16.661,30.3518,21.6569,23.8207,18.7123,21.0537,21.9598
2015-06-30,14.4905,17.7712,17.006,17.6105,15.281,12.828,9.0922,17.7373,112.6755,13.3173,11.0971,11.923,13.6837,10.6266,10.4918,16.6225,13.7814,13.2835,14.0881,17.6002,14.9968,15.7458,34.4959,17.4982,38.6378,170.8038,8.3385,10.3428,13.6675,13.3187,21.2403,18.6546,20.0657,14.655,26.5276,28.1208,22.6816,18.3274,20.4549,21.1945
2015-09-30,11.9757,17.9071,18.5234,16.3268,14.0081,12.9543,9.2837,17.002,84.6693,14.1134,9.3136,10.7628,12.4034,9.2114,9.3006,15.6159,12.8995,12.3114,13.8387,15.2624,15.9281,17.5799,781.604,16.3605,74.7846,170.8038,6.8313,7.8224,11.2719,14.9572,19.5245,19.2616,20.2595,13.8572,27.5828,35.7863,22.3369,19.1953,19.2952,21.5705
2015-12-31,11.2247,22.4935,23.5197,16.8216,13.9257,14.6825,9.0674,18.7222,78.1092,15.1306,10.4185,11.6922,13.2244,8.9285,9.8777,12.6455,13.4606,12.9189,12.9695,17.7352,20.2468,27.2659,759.44,20.7246,321.0373,275.5328,8.9055,9.9473,11.3471,24.709,21.9174,21.1426,21.6267,13.3575,30.9903,40.4588,23.6704,22.172,19.7311,21.5967
2016-03-31,12.1773,23.0142,23.559,19.2594,14.3872,13.198,10.0994,19.34,61.1937,16.558,9.7079,9.3977,11.9096,7.6835,10.9,11.2984,12.8044,11.6629,11.5682,18.1109,26.8778,49.8597,759.44,27.2391,334.0529,279.6804,9.0084,9.3928,13.2291,37.2346,22.8167,23.5307,21.8827,15.0887,30.13,26.6221,25.381,23.0058,21.9583,23.3734
2016-06-30,11.2239,19.0728,28.3666,18.9886,14.0257,14.6342,10.8067,20.4117,55.423,16.5096,10.4452,9.3285,11.7137,8.0764,10.752,11.9486,12.6031,11.4409,11.1924,18.4859,37.1984,64.4899,759.44,38.574,334.0529,279.6804,8.0835,9.4979,13.321,102.6272,22.4308,23.3853,22.52,16.1222,29.6302,25.9525,26.2673,22.7578,24.4493,25.2419
2016-09-30,13.7593,21.0261,33.6516,17.9831,15.273,15.9322,11.7038,21.6947,56.4105,18.2318,11.8878,10.7039,11.0133,9.1358,10.3809,12.6708,13.2786,12.7715,11.8177,19.5953,40.785,101.2233,759.44,51.6121,334.0529,279.6804,10.9298,14.9011,18.7222,447.788,24.1683,22.0081,22.9708,15.9558,28.5599,23.4165,26.5474,20.8214,21.9854,23.6764
2016-12-30,13.8619,22.6663,40.9018,17.7916,14.4841,15.1729,12.0687,20.865,44.3493,16.758,14.1461,14.0342,13.8316,11.5019,14.3968,14.2435,15.8062,16.214,14.495,19.9493,37.8678,113.4139,759.44,84.4081,334.0529,279.6804,13.567,15.5599,20.7319,539.1814,22.5534,21.6782,21.5899,15.963,29.5406,22.2859,23.2848,18.9296,21.0717,25.1589
2017-03-31,16.8144,23.2246,35.8185,20.2656,15.7159,14.53,13.177,21.7843,49.7116,13.4798,13.625,13.4411,13.8402,11.3896,11.7644,12.5034,15.5589,15.926,15.71,19.3183,28.2447,45.6908,759.44,92.6371,334.0529,721.3115,14.2078,16.8226,19.9486,539.1814,24.1254,22.4885,22.883,16.5701,31.3439,21.7232,25.6537,21.6813,19.6482,23.0217
2017-06-30,16.384,23.1718,40.6556,21.9117,14.7674,9.6917,11.6533,19.4633,49.1291,14.0116,13.3815,13.3987,13.5424,12.9321,11.4176,12.5654,15.5916,15.8666,16.9681,20.899,24.6613,39.1526,759.44,77.2504,334.0529,121.3616,16.6708,22.0054,23.3976,144.6703,22.7052,22.5553,22.9767,17.3578,29.0039,21.4291,25.8501,21.6007,18.0212,20.5021
2017-09-29,16.9226,24.1819,44.142,20.5263,16.0286,10.6639,10.9549,21.0948,46.9036,12.318,13.6377,13.7115,13.3569,13.7248,12.1422,13.103,15.9021,16.4554,17.2492,21.3317,22.9407,39.2568,759.44,68.7587,204.485,99.4925,16.6278,15.8972,19.9136,62.043,23.4765,22.5703,21.81,17.8402,28.2087,19.3484,25.4171,19.402,17.2029,21.4484
2017-12-29,17.5935,26.0278,41.8617,19.5214,17.743,15.9505,11.5584,24.0136,51.8818,17.0088,15.6688,15.3424,16.3193,13.7632,12.7165,13.4856,15.2216,16.9711,16.7634,23.4595,23.6672,35.6143,92.1661,48.899,91.3889,74.99,18.459,17.2611,22.7951,39.7106,23.1095,22.619,22.9025,22.3923,30.4911,20.7251,26.3049,19.2668,19.8521,22.3404
2018-03-29,16.3576,25.7069,39.9264,17.8644,19.5392,17.2836,11.2073,21.9519,57.408,17.2344,14.62,14.4603,14.5909,11.8757,11.6027,12.4563,13.7978,16.8567,14.4975,23.0308,20.3075,26.0266,34.9219,42.9108,47.5623,37.3735,17.5066,19.0039,19.6845,29.3059,19.6254,21.0377,20.7262,19.5538,28.8822,19.0317,24.4123,17.2105,14.7221,20.7645
2018-06-29,16.9824,27.5966,35.7265,16.9605,18.8863,19.1526,9.9831,21.6196,56.1064,16.3448,13.0429,12.6231,15.578,11.6699,9.1257,9.9515,13.0601,14.0845,14.4028,19.8779,21.6911,22.9613,25.6928,39.2984,35.5353,32.0035,17.8134,13.5037,15.1834,23.2921,18.9522,22.1078,20.1477,18.0022,30.6422,18.1072,21.6878,16.1332,14.3765,21.7228
2018-09-28,19.0774,29.3535,39.9154,19.3229,20.0105,15.3804,10.6717,19.6625,55.7422,27.1375,13.1313,12.0829,14.7787,11.7538,8.7333,9.3072,13.1696,13.2841,14.8434,17.5907,19.5718,17.232,19.7057,34.8153,25.2009,19.8864,17.9936,15.5094,12.7828,20.1185,20.427,22.3017,20.3043,19.412,33.0817,18.5012,22.4559,17.1321,13.9707,22.1676
2018-12-31,12.9878,25.1484,22.2352,16.4667,17.0341,11.341,7.8797,16.7019,43.3133,18.2745,10.8511,9.2388,11.1954,8.1609,6.4851,8.3428,11.1083,10.9058,13.0257,14.4608,13.7177,13.1459,13.5638,22.167,15.5581,12.3605,10.299,10.4382,7.4413,14.0276,22.1198,22.4313,19.9284,18.9416,27.603,16.5791,20.0592,17.1828,12.5955,19.1478
2019-03-29,15.9946,27.581,38.2524,19.5723,20.2837,12.8212,10.3137,18.8282,49.9175,17.9665,10.9544,10.01,11.4519,8.8319,7.8341,8.995,11.6007,11.2532,14.6361,16.1581,18.2354,15.6643,14.3632,28.1525,16.9643,12.9549,12.6339,11.0611,8.318,17.0784,24.6638,22.1062,22.0768,19.8727,31.0436,20.4679,23.6386,18.7618,16.5046,19.7018
2019-06-28,16.853,28.5503,42.6895,18.8856,19.7508,11.424,9.5685,20.6389,55.5714,11.9063,11.7041,10.1472,10.8887,9.1222,8.4625,9.482,12.4052,12.4123,16.0357,18.1322,18.0691,16.247,13.5106,27.0372,16.773,10.293,14.0977,11.7702,8.502,15.3411,26.2432,23.7169,24.0234,22.5951,33.0942,21.9432,25.198,19.996,16.2694,19.9359
2019-09-30,18.8765,28.0154,48.8088,17.8628,17.7372,12.3209,10.5949,24.0351,49.586,11.5184,11.8999,10.6275,11.8533,8.8373,9.2056,9.0407,12.8279,13.0868,14.9762,17.3982,19.9975,17.5001,14.2809,24.3455,16.2012,14.036,15.379,14.3154,9.9501,14.2555,27.3648,25.6255,25.2602,23.8806,34.6491,22.281,25.8931,22.1872,16.6495,21.9022
2019-12-31,23.183,29.3924,51.1081,16.8608,17.2396,13.5825,10.2737,24.584,55.6553,13.9082,12.9191,12.6395,13.163,9.1499,9.7189,9.8332,14.3213,15.3638,15.2002,18.4262,27.9872,20.0714,18.0319,28.0026,17.8182,27.1737,16.8746,12.3859,13.3233,19.7752,26.5081,25.9084,24.7656,24.058,34.6396,22.3527,24.2897,21.0423,15.6844,22.9926
2020-03-31,19.9177,27.9616,48.6069,14.898,14.1609,10.8459,8.2917,19.5311,48.2902,10.6208,10.0147,8.6698,9.4477,8.9278,7.2292,7.0558,8.9249,10.2156,12.9909,15.7575,21.056,11.5506,10.0533,9.7695,8.8524,7.2599,78.9324,9.7728,7.0932,5.2008,22.7447,20.3848,21.3645,22.7708,33.251,20.1874,22.3723,18.2368,15.7505,13.522
2020-06-30,27.7008,35.0256,58.4521,17.4523,16.9984,11.5368,10.1467,25.2719,57.528,30.311,12.0606,11.3343,32.9421,11.7996,8.7582,8.5717,11.588,22.9216,19.7921,19.016,54.9868,33.039,37.3086,17.0876,20.113,7.2599,27.5645,59.8877,20.6198,12.5914,23.3625,22.9342,24.4929,22.8718,35.3392,20.1942,24.5377,18.7516,17.0758,27.6232
2020-09-30,35.5337,33.7491,72.7624,18.2131,14.6487,10.6276,10.2234,28.1597,62.0868,33.6954,11.7823,11.4152,36.7426,12.0199,7.384,8.1224,11.881,19.9474,24.8759,18.7493,42.15,67.4099,28.8205,17.9336,16.9717,7.2599,20.343,47.1508,59.0818,14.9543,25.8535,25.5241,25.1563,25.8265,39.357,22.7779,25.1408,18.621,16.1273,42.7132
2020-12-31,35.9948,33.0413,62.2002,18.8095,16.6668,10.892,14.2256,28.7127,46.1243,32.3764,13.8792,15.5033,58.716,20.5546,8.1606,10.4486,15.1886,23.4495,32.1569,23.0028,42.15,79.89,28.8205,30.019,34.8033,7.2599,20.343,47.1508,80.4625,28.7447,24.7792,28.1433,26.8305,26.5602,38.6838,25.0106,27.5099,16.9542,14.9808,95.0354
2021-03-31,27.5099,32.5971,52.5748,19.6436,19.2386,14.5782,17.5756,29.6637,41.3985,23.6283,11.8629,15.8376,24.7124,8.7294,6.8749,9.994,14.5651,19.7627,23.225,23.1145,442.7193,79.89,28.8205,39.2943,28.9596,7.2599,20.343,47.1508,80.4625,39.6173,23.786,26.436,24.9456,22.8774,36.0409,24.1381,25.5177,18.2614,15.4459,149.312
2021-06-30,26.8767,34.5493,65.359,19.6823,19.5029,12.6958,22.4086,26.742,50.845,21.8599,10.1992,13.381,11.2141,7.4807,6.7824,12.0453,12.1991,14.2232,19.2128,24.8875,42.4572,41.5303,43.3333,33.8169,18.3885,7.2599,20.343,47.1508,80.4625,31.1906,23.6656,24.021,25.3093,22.7452,37.0381,24.5404,25.7566,19.4149,16.0643,49.4779
2021-09-30,25.2225,34.0257,59.2891,21.4323,19.723,11.394,25.7466,24.6627,47.6456,17.1795,10.2589,12.6235,10.6163,6.7872,6.1505,12.0649,11.9357,14.205,17.5057,23.2297,18.36,17.9874,19.4405,26.32,12.5273,129.8964,20.343,47.4929,33.4184,25.1547,24.6883,22.3015,25.1671,22.0887,39.235,22.1658,23.8066,19.7211,15.7485,40.8092
