date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,5.5579,3.6595,2.471,3.9234,2.3832,2.6998,13.0168,5.7599,5.6114,2.9925,1.0487,0.7104,1.6839,0.7714,1.0697,1.0558,1.9759,1.1803,3.6358,2.2044,2.0755,1.2671,1.5778,2.8141,2.8804,1.6406,1.5628,2.4563,1.9564,2.3895,3.6061,6.1309,8.9349,3.4662,6.5339,2.391,136.3541,202.1771,6.1997,4.2135
2015-06-30,5.694,4.4253,2.59,3.5966,2.339,2.5056,11.6435,5.2197,6.1066,2.9766,1.1586,0.777,1.7234,0.8092,1.1819,1.1236,1.9364,1.2019,3.5584,2.0458,2.0088,1.1737,1.5579,2.8719,2.7588,1.782,1.4582,2.4126,1.9346,2.345,3.4426,6.0036,8.4339,2.8913,5.6099,2.69,129.6864,74.8156,6.6763,4.0787
2015-09-30,5.1555,4.564,2.9701,3.284,2.2242,2.4579,10.579,5.0644,5.9935,2.606,1.0218,0.6954,1.5374,0.7187,0.9719,0.9009,1.7916,1.0962,3.4225,1.7331,1.813,0.9583,1.3394,2.2923,3.0123,1.69,1.3616,2.0152,1.7672,1.9565,3.197,6.6874,10.2732,2.6157,5.9635,2.2306,223.2105,733.5969,6.7958,4.3785
2015-12-31,4.55,5.7265,3.9753,3.3472,2.2537,2.6647,9.3187,5.5729,6.6791,2.4711,1.0921,0.7469,1.6208,0.745,1.001,0.9027,1.8412,1.1668,3.26,1.9528,1.8966,1.1091,1.4514,2.4586,3.0074,2.1196,1.6295,2.0796,1.8747,1.8845,3.546,7.2693,12.1768,2.4065,6.5472,2.5292,237.5261,870.7763,7.1315,5.8942
2016-03-31,4.577,5.8105,4.5344,3.7066,2.2983,2.4939,9.7411,5.9085,6.6323,2.5307,0.9663,0.5848,1.4153,0.5841,0.8667,0.7078,1.7118,1.0126,2.8172,1.9621,2.0132,1.1962,1.2758,2.6114,3.219,2.1972,1.4588,1.5273,1.9971,2.3548,3.7682,8.0662,13.3863,2.8468,6.2925,2.246,237.5261,444.5,7.692,6.6509
2016-06-30,4.0745,4.8085,5.6139,3.5755,2.2691,2.5271,9.2207,6.31,6.5939,2.5748,0.9916,0.5606,1.3506,0.5792,0.8022,0.7158,1.6621,0.953,2.7135,1.9529,2.2788,1.3438,1.4383,2.5816,3.8098,2.4987,1.1459,1.4858,1.8161,4.0014,4.0828,7.3431,12.5059,2.9552,5.9836,2.5649,237.5261,252.3039,8.6333,8.1601
2016-09-30,4.7038,5.4372,6.9369,3.4001,2.5133,2.7952,8.8797,6.8305,7.4124,3.1816,1.0439,0.647,1.2467,0.6339,0.8482,0.864,1.7379,1.0405,2.7942,2.0349,2.1217,1.3235,1.4891,2.5901,4.5184,2.4993,1.1807,1.6,1.8317,4.005,4.1964,6.9998,12.4348,2.8581,5.5242,2.4665,237.5261,151.1993,7.7385,8.907
2016-12-30,4.5977,5.8701,10.837,3.2553,2.3712,2.5564,8.6049,6.9395,6.8531,3.0872,1.3471,0.9219,1.5794,0.8003,1.2421,1.1421,2.0948,1.3604,3.2666,2.1125,2.2376,1.5295,1.7738,2.8427,4.1701,2.5323,1.4804,1.961,2.0021,4.9784,4.1308,7.7088,13.5165,2.708,5.8752,2.6928,237.5261,137.942,8.5727,12.0842
2017-03-31,5.5777,6.0921,10.5697,3.6268,2.5838,2.541,8.9269,7.555,8.4904,2.702,1.3581,0.9685,1.5802,0.7885,1.1978,1.1431,2.0648,1.3967,3.3821,2.1283,1.9615,1.3877,1.7451,2.6715,4.043,2.2982,1.4952,2.0069,1.8282,4.7665,4.3498,7.9274,13.8758,2.9569,5.9169,2.5536,237.5261,343.7866,8.3663,11.9433
2017-06-30,5.6224,6.0575,14.5213,3.8513,2.3583,2.2812,7.7833,7.1248,8.941,2.6045,1.3839,0.9751,1.5331,0.8646,1.1414,1.1659,2.0406,1.4242,3.5208,2.303,1.909,1.3523,1.7664,2.3074,3.7597,2.1759,1.4966,2.0955,1.891,4.1671,4.1781,8.7005,13.3211,2.9652,7.0881,2.537,237.5261,447.3282,7.3847,11.2016
