date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,10.0186,10.1594,11.4697,10.8353,10.828,6.2892,7.2612,11.162,45.8837,13.3702,,,,4.8331,4.3621,7.8443,,,6.8569,12.4983,8.0308,6.1987,6.3078,9.7168,6.2759,23.2651,4.271,4.4724,8.8815,6.4612,14.2263,15.3054,11.8097,7.4051,14.6276,14.2819,14.9516,11.7235,11.7621,9.9266
2015-06-30,9.3725,15.043,12.093,10.6009,10.6074,6.2925,7.8183,9.9574,46.457,13.234,,,,4.5875,5.1388,8.0097,,,6.8161,11.6446,8.6338,6.9243,7.9907,10.7759,7.0569,53.03,3.6783,4.4729,8.2255,7.6994,15.8245,15.635,11.486,6.4919,12.7399,16.7367,14.207,19.19,12.6149,11.1397
2015-09-30,7.7075,14.6268,14.3775,9.6391,9.651,6.2594,7.3041,9.5407,39.0942,12.476,,,,4.0239,4.5884,6.9729,,,6.6064,9.9688,8.801,6.8083,9.6559,9.7594,5.6528,43.961,3.2726,3.6125,7.0191,9.8905,13.7799,16.4962,13.1503,6.0185,13.3728,6.1816,13.1431,20.8716,12.1065,11.8946
2015-12-31,7.2095,18.3086,18.9049,10.0749,9.5862,7.1914,7.1329,10.4704,37.7046,11.7462,,,,3.8645,5.3481,4.8005,,,6.5687,11.1902,10.5773,9.6971,25.0952,12.5367,5.6528,43.961,4.2989,4.5795,7.6619,17.4068,14.9683,17.4777,13.6797,5.8657,14.8918,7.3984,18.5963,19.6258,11.014,12.4356
2016-03-31,7.7833,18.1163,19.1091,11.4684,9.9992,6.7867,8.5,10.9156,33.9343,11.4658,,,,3.2574,5.3423,4.0946,,,5.7636,11.5685,12.6257,12.3245,49.14,14.6202,5.6528,43.961,4.1444,4.1234,9.0842,18.4193,15.17,19.1367,14.2108,6.5778,14.5124,6.6645,19.6352,20.3408,11.9193,13.5152
2016-06-30,7.1731,12.401,20.3054,11.4119,9.7887,7.4854,8.9143,11.6569,31.2863,11.0871,,,,3.37,4.6342,4.2324,,,5.1731,11.7112,15.7113,15.1209,53.5817,37.3592,5.6528,43.961,3.6006,4.0173,9.6881,18.4193,13.8362,18.1736,14.5152,6.8923,14.2559,7.7099,20.2036,13.2107,12.8833,11.5637
2016-09-30,8.7964,13.5564,22.4544,10.9507,10.8761,8.6398,9.4747,12.5363,32.8709,12.8276,,,,3.7426,4.5119,4.7414,,,5.4374,12.2427,16.3702,16.3527,158.7645,64.275,26.3185,43.961,4.4915,5.012,13.9906,18.4193,14.5993,17.2028,13.1024,6.8463,13.5758,29.0804,20.7953,11.9094,11.6323,10.3513
2016-12-30,8.9474,14.08,27.3053,10.6425,10.5853,8.3037,9.9878,12.5937,28.0977,13.7993,,,,4.5496,5.536,5.6115,,,6.3567,12.8147,16.2217,16.6502,14.0326,42.6277,24.0467,20.852,5.7687,6.6162,20.7978,18.4193,13.4979,17.195,12.365,6.5246,13.944,20.3437,13.6345,10.0317,11.6747,10.9566
2017-03-31,10.9641,14.3489,24.8455,12.3214,11.6574,7.8783,10.2575,13.3054,32.5625,13.4974,,,,4.3232,4.7862,5.1009,,,6.8583,12.2695,12.8939,12.1986,10.5286,47.3745,18.4681,14.9877,5.8477,6.1945,17.0357,18.4193,14.3225,18.0976,12.8616,6.7224,14.5569,19.0845,15.0445,11.3945,11.2516,9.8264
2017-06-30,10.822,14.1217,29.2801,13.6145,10.9968,6.5743,9.2246,12.0157,32.7131,14.8726,,,,4.6555,4.3998,5.0062,,,7.8698,13.2502,12.3188,10.2782,20.9295,19.5392,15.183,11.3546,6.2739,6.9251,16.5151,17.9519,13.5136,21.0768,13.2976,7.0174,13.5118,19.0639,15.4029,11.1906,10.2653,9.2562
