date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,3.4464,3.5273,2.4308,4.9264,2.8913,2.7093,1.7674,4.5883,8.6571,4.2008,2.1914,1.7369,3.1852,1.7374,2.088,1.7706,3.6485,3.0176,2.2685,5.5114,1.1007,1.1351,1.7201,2.259,3.2944,3.2501,0.2839,0.3391,0.3399,1.1423,2.9769,3.8491,2.1653,0.5472,0.5752,1.8141,3.7163,2.0397,1.9498,0.4582
2015-06-30,3.2548,3.8587,2.2949,4.64,2.8509,2.6361,1.8496,4.1197,9.2867,3.8927,2.4652,1.9209,3.2671,1.8715,2.314,1.8825,3.631,3.0581,2.2572,5.1372,1.1881,1.1646,1.9375,2.4792,3.5235,3.8071,0.3056,0.37,0.3962,1.2016,2.9524,3.7496,2.1312,0.4714,0.5116,2.0959,3.5544,2.0348,1.9065,0.439
2015-09-30,2.7196,3.9362,2.7588,4.1465,2.697,2.5977,1.7029,3.9451,8.9873,3.4451,2.2462,1.7622,2.9479,1.7021,1.9927,1.5733,3.3888,2.8308,2.1366,4.3805,1.2013,1.0808,1.726,2.1765,3.5259,3.6344,0.3297,0.3552,0.429,1.1008,2.8885,3.8735,2.1676,0.4318,0.5468,2.2099,3.5151,2.1173,1.9188,0.4745
2015-12-31,2.5401,4.9544,3.5691,4.2185,2.7843,2.951,1.6473,4.3561,9.7701,3.2957,2.4112,1.8735,3.1012,1.7613,2.0657,1.5991,3.5017,3.0104,2.0179,4.9695,1.3813,1.371,1.9612,2.4929,4.0941,4.1464,0.43,0.4337,0.5209,1.2286,3.2691,4.2205,2.3348,0.4083,0.6088,2.4482,3.7489,2.4914,2.0011,0.4934
2016-03-31,2.6849,4.9037,3.7237,4.708,2.9174,2.7231,1.8215,4.5724,9.2299,3.4768,2.172,1.5015,2.7099,1.4475,1.9888,1.3276,3.2869,2.6463,1.7483,5.0017,1.5926,1.5699,1.8555,2.9327,4.8427,4.5419,0.403,0.3318,0.5849,1.4696,3.4429,4.5927,2.3963,0.4522,0.5902,2.2642,4.038,2.6552,2.2416,0.5529
2016-06-30,2.4069,4.4477,4.6492,4.6575,2.9439,2.7404,1.8266,4.9315,9.0091,3.5265,2.2471,1.4815,2.6041,1.4887,1.9042,1.3972,3.176,2.5229,1.6998,5.0614,1.9089,1.8713,2.2571,3.4079,6.2567,5.4538,0.3304,0.3583,0.5801,2.0758,3.497,4.5427,2.4841,0.4772,0.5844,2.6688,4.2305,2.7138,2.5785,0.5771
2016-09-30,2.8745,4.921,5.9955,4.4047,3.268,3.0804,1.903,5.3917,9.755,4.3146,2.34,1.7285,2.4005,1.6562,1.9328,1.6559,3.306,2.7471,1.778,5.375,1.8529,1.9037,2.3347,3.6491,7.534,5.5083,0.3433,0.3957,0.6183,2.2741,3.6916,4.3116,2.5497,0.4662,0.5634,2.597,4.3116,2.4986,2.3503,0.5326
2016-12-30,2.8621,5.2376,8.3661,4.2733,3.1274,2.889,1.9839,5.4733,8.7614,4.0521,2.9923,2.4256,2.9568,2.0829,2.708,2.0557,3.8793,3.5152,2.0414,5.6084,1.8764,2.1339,2.6358,4.0934,7.4389,5.392,0.4154,0.461,0.6425,2.9321,3.4203,4.2761,2.3957,0.4411,0.5871,2.66,3.8408,2.2427,2.3065,0.5812
2017-03-31,3.4683,5.4234,8.0093,4.9108,3.4976,2.8212,2.0854,5.8574,10.5123,3.6398,2.9536,2.5288,2.9561,2.0279,2.4033,1.944,3.8184,3.5307,2.1034,5.4051,1.597,1.802,2.3799,3.8552,6.2609,4.4315,0.3692,0.4226,0.5421,2.6615,3.6215,4.4925,2.5476,0.4545,0.6066,2.5725,4.2849,2.5746,2.219,0.5236
2017-06-30,3.3983,5.528,9.8597,5.4705,3.2666,2.5838,1.8534,5.4142,10.7428,3.6142,2.9871,2.5205,2.9045,2.1919,2.2524,1.944,3.8158,3.5643,2.1458,5.72,1.5441,1.6773,1.9854,3.2147,5.3874,3.9957,0.3593,0.4128,0.5453,2.1642,3.4816,4.9568,2.6105,0.4709,0.5687,2.5956,4.3329,2.517,2.0824,0.4939
