date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,73.3264,66.7044,63.7746,62.9421,74.2339,61.1626,47.0043,74.3629,81.6078,57.0199,63.1107,57.8878,84.1018,56.4018,61.5213,62.7941,77.8225,70.8948,64.0765,75.956,51.8847,50.7374,52.9364,48.9053,63.511,38.8934,73.7614,68.3766,,46.9168,64.3408,62.3825,74.4919,74.3301,90.0954,70.8349,83.4143,77.4865,82.3616,61.4432
2015-06-30,73.5103,69.6015,60.6517,58.0267,74.0065,59.649,47.7148,65.7993,83.6035,52.3212,66.8278,60.6566,84.9352,58.7553,65.09,65.3559,77.0789,71.8674,63.7471,71.0896,50.5785,46.4728,52.2517,50.0268,61.4856,41.514,72.772,68.8547,,46.5188,60.1503,59.0773,70.8601,60.8474,74.1363,75.4382,74.5592,76.1887,79.6805,57.5522
2015-09-30,66.0559,69.6909,69.5862,51.6552,69.7253,59.142,42.6695,63.0571,83.925,46.8112,60.6082,57.0858,73.8543,54.004,55.7256,55.6515,70.6442,65.5535,60.7293,60.8366,44.6293,39.1483,42.8148,43.5767,54.7823,37.3157,70.2836,63.3252,,42.7925,53.733,60.5933,71.4904,55.061,76.7074,76.0273,70.5568,77.2917,80.0071,62.1029
2015-12-31,63.7366,77.0907,78.9899,52.2095,71.0732,64.2679,40.7419,66.9949,86.6545,44.679,63.3459,59.3243,75.9355,55.4778,56.9573,55.9511,72.3696,68.3869,57.0206,65.5809,47.3426,45.0259,42.0427,43.9293,53.9196,38.1619,74.3001,66.032,74.3628,42.1752,59.2803,65.0435,74.9115,51.9674,80.436,78.3067,73.0788,82.4879,81.22,64.964
2016-03-31,64.7238,76.6417,81.0204,57.7789,72.9572,60.2985,45.7116,68.7639,86.4656,45.5034,57.5489,51.6425,64.8536,47.7744,51.4212,48.2525,67.0517,59.1733,51.0467,65.5861,51.3636,47.697,38.2841,45.8002,54.6052,38.6794,68.1569,54.5055,75.6245,43.3048,61.224,69.5204,76.3062,57.2243,77.3486,67.347,75.9125,84.0408,84.891,71.5038
2016-06-30,58.5607,69.5565,86.8527,57.803,73.2708,60.8564,45.8283,72.0023,86.9026,47.2835,59.2701,51.1042,63.1498,48.2695,49.5474,49.3237,66.395,56.7359,50.5984,65.8048,57.6336,52.0466,41.2195,48.2767,58.6202,43.0025,57.854,54.956,70.0086,49.3722,62.7811,66.6783,78.08,60.1812,76.9106,72.1419,77.5246,84.6448,88.3316,75.0182
2016-09-30,63.4458,73.7028,91.9118,55.0041,77.1941,66.4428,48.389,75.8797,89.2888,56.6519,61.8112,55.8246,58.2683,51.9771,52.3711,55.5364,69.5568,61.4182,52.8822,68.0296,52.9545,51.1193,41.1372,48.0814,62.9472,41.8267,58.8731,56.5195,70.4036,49.1297,65.9505,59.2688,79.4359,59.3041,73.168,68.8879,78.1063,73.2457,71.877,70.9526
2016-12-30,64.1679,76.1706,95.3418,53.5982,71.5919,63.5237,50.9125,77.1428,82.2164,54.3527,70.5661,65.5353,67.7896,59.7984,65.2678,63.5926,77.2071,71.6303,59.1132,69.9403,54.7784,57.4386,46.9833,50.6748,64.2761,41.0528,65.7121,61.8165,72.3061,54.5338,59.8268,57.3093,72.3818,56.3556,75.3364,69.2863,62.0894,63.4863,68.0078,76.084
2017-03-31,70.4797,77.993,95.4606,61.4697,76.0578,63.1201,53.6957,80.183,87.4299,49.2279,71.127,67.3223,68.1865,60.0226,62.9821,63.9993,77.3012,72.5842,61.8362,70.2548,49.1028,52.3451,46.7807,47.8396,62.3294,37.5672,64.1889,61.9138,66.6455,51.417,63.5372,58.9739,76.3343,58.5456,77.3063,66.6154,68.3214,69.7992,63.2142,68.9668
2017-06-30,70.5519,79.3936,96.8625,66.8985,68.0165,58.4605,46.6043,75.0421,88.8895,47.9157,72.4266,68.1227,67.7776,63.942,61.1292,65.2191,77.6229,73.9175,64.4374,74.0798,48.2672,50.9142,42.4654,42.4759,58.5478,36.1033,64.6968,62.8733,67.9496,47.521,60.7115,62.8137,78.034,61.102,71.0499,66.7369,68.9873,67.9777,57.5048,65.9068
2017-09-29,72.5793,81.669,97.6219,63.7666,71.0849,63.8183,43.9136,79.9012,89.7654,45.8186,73.8879,69.4229,67.3255,66.8474,63.3967,67.6934,78.9031,76.5441,67.3438,76.1732,49.1768,56.4663,47.8081,44.6141,60.8132,39.2725,68.5811,64.8702,71.0798,49.6208,63.2109,63.0609,71.8209,62.7906,72.4014,61.2175,66.9243,60.2921,52.3688,69.2518
2017-12-29,75.317,85.173,97.8618,61.9011,76.0453,71.2526,47.0515,83.8452,92.0405,53.685,77.4647,73.8657,71.6499,67.6474,65.8611,70.395,78.874,78.7593,70.9782,80.7037,50.4234,59.357,51.6508,43.5599,64.559,45.5995,73.5405,69.5296,74.004,51.4117,63.7938,64.4449,76.1053,73.263,77.9514,63.9345,68.9551,61.5138,60.2734,74.3314
2018-03-29,74.5478,86.6031,98.3309,59.2326,79.7266,75.263,47.0553,83.1919,94.212,48.3419,78.3127,74.3176,59.0548,61.0794,65.0822,71.2909,70.2772,80.2274,65.6196,82.2332,44.0883,53.7807,54.9016,42.3724,63.0256,41.3302,73.7962,72.3718,69.8351,50.1081,51.4931,57.8694,63.0162,64.0508,78.4453,61.6104,62.9223,55.0665,45.0561,72.8593
2018-06-29,77.5048,88.1764,98.3841,56.3434,79.8285,70.9931,42.5142,84.6787,95.1746,48.7945,72.7018,69.3707,61.7136,60.548,57.2194,62.3456,69.0148,68.4034,67.6767,72.7679,50.1531,58.4517,61.454,43.7949,68.8149,51.7896,78.4963,69.484,74.6539,48.8097,50.4782,58.6665,62.7142,61.2359,82.2541,60.0076,53.7021,52.3772,44.3778,77.9475
2018-09-28,82.6067,90.7013,98.7428,64.5967,83.427,66.8242,47.1213,81.0839,95.8716,57.7312,75.5291,70.8453,57.8673,63.3979,57.8624,61.2976,72.1468,68.7385,71.0339,67.3478,51.7428,56.3959,65.5176,40.8463,69.6535,50.9998,79.1476,73.2995,74.7625,45.7347,54.565,62.7764,64.6246,65.3196,85.687,62.8054,55.8713,56.3548,43.2044,80.314
2018-12-31,58.637,76.4261,54.8799,55.0225,70.5894,66.2014,36.7706,67.7085,76.0814,48.9821,63.1259,59.1972,50.2749,48.1149,46.2069,53.2593,56.4789,57.186,61.9214,54.8761,41.3141,50.2134,53.7197,31.5472,50.7593,41.5945,55.226,56.923,57.5513,37.8307,60.4701,64.6603,63.0571,64.6448,68.5105,56.448,47.5425,56.4962,39.8355,64.4186
2019-03-29,63.97,80.6258,60.7435,62.9251,77.9208,71.5679,46.0891,72.1793,80.1457,49.0481,64.6104,63.1866,52.5905,54.247,50.856,55.5714,59.7737,59.3787,67.5348,58.5167,49.5231,55.782,56.1975,36.2594,53.4449,44.1654,58.6482,57.3344,60.8466,40.0078,66.9309,63.2051,70.1798,66.7751,75.1299,68.1627,56.0986,61.0133,52.6368,67.1309
2019-06-28,65.1668,83.6883,58.04,65.4172,78.3248,62.3821,45.2512,74.9811,82.3991,58.2718,68.5967,64.9505,51.4389,58.3244,53.0647,57.0171,64.6469,64.3746,72.0266,62.4738,47.1732,56.2435,52.258,34.9351,52.661,38.1865,58.9157,54.6766,59.9411,36.6723,69.4161,69.3585,74.0151,72.1268,77.9969,71.4865,58.6207,64.7277,53.2803,69.5456
2019-09-30,68.8131,84.5222,59.2924,62.7156,68.6072,65.3858,47.6592,78.8105,76.3051,58.3613,70.5851,65.1672,54.7671,57.6514,53.5338,55.6366,67.5988,65.2804,68.3123,59.0508,43.9322,53.4586,49.6337,33.0448,45.8674,36.2574,58.7216,57.292,63.1513,34.8185,74.7842,73.4968,76.2992,74.8804,80.5945,72.5862,60.0729,67.8152,55.4798,74.0464
2019-12-31,76.0385,87.1311,66.0773,59.9004,66.1965,71.0455,44.4716,77.9673,80.7646,63.2,76.4932,71.8402,58.0977,62.8979,57.4833,62.822,71.0914,70.7038,70.2975,64.152,43.4886,54.2563,54.5551,37.0178,49.4078,35.1834,61.8015,56.9288,66.1244,39.5711,74.9513,74.4573,75.7825,74.9325,81.1774,72.0802,54.8149,64.6864,53.8419,76.6726
2020-03-31,66.6458,87.1324,68.676,53.9813,54.0056,63.3616,38.7966,58.0136,77.3768,51.9941,51.2728,48.6371,36.4851,42.8997,44.0889,46.4181,41.0932,45.5512,49.4212,55.9065,30.6953,37.0504,37.6905,28.8512,36.5119,27.2752,42.2897,37.9478,42.4687,31.7538,62.2238,50.4443,59.157,69.8428,77.3896,62.3317,52.2019,58.4402,52.9888,44.8817
2020-06-30,75.7159,91.3028,76.6075,60.2885,60.6234,67.1719,42.1799,66.7509,84.4737,60.6056,52.6453,51.6655,34.765,47.1982,51.0977,56.6097,43.5411,48.482,53.1194,64.1443,35.0608,43.7545,43.8208,31.8227,41.5721,31.0599,47.2854,45.3227,48.7119,36.4569,66.1945,51.1022,65.1921,72.2391,79.5077,63.4497,58.1758,63.6972,60.5547,49.9394
2020-09-30,80.7401,91.7325,83.0266,63.7078,52.567,58.012,42.493,70.605,86.6044,67.6311,53.4201,52.076,33.6144,44.0227,51.6063,56.6408,42.7579,49.9197,54.9858,65.4437,31.746,39.1421,40.3251,31.017,38.29,29.0514,42.7013,42.1691,43.1668,36.051,72.5092,57.6986,67.8587,78.3058,84.1019,69.3467,61.1256,65.8734,60.5778,53.7645
2020-12-31,83.2933,92.4451,80.231,67.14,57.1055,56.0094,44.0202,74.8415,86.9436,74.1355,62.604,58.9461,40.3946,52.0831,59.9977,66.9286,52.8667,59.9345,61.7034,73.7585,36.063,43.7558,44.0677,34.9469,42.8854,33.1509,47.3961,47.9952,48.8272,41.2405,72.5518,63.8277,71.4611,79.3304,85.5673,70.1828,66.5807,58.2301,57.1219,59.1217
2021-03-31,76.4761,93.1474,80.6634,70.4456,62.1675,65.3334,46.6927,78.6938,81.2819,65.9973,68.1315,66.0148,48.0156,56.1485,66.3386,70.3556,59.1711,65.0235,66.9772,75.0834,44.1321,50.3749,50.1766,38.1887,49.4765,38.066,52.1823,53.1271,52.1186,43.0989,69.6728,60.1716,65.8483,72.1313,77.0355,70.2342,59.4071,59.8791,59.3093,60.9354
2021-06-30,79.0684,94.5763,87.399,74.3368,63.0382,57.9956,51.2224,79.1516,85.738,67.9791,68.7852,67.8232,52.5835,55.2383,70.516,74.6951,60.2608,67.5995,71.8199,79.2871,47.6621,50.3593,53.5169,41.0344,52.329,40.4222,54.1205,55.8101,53.3118,44.3285,69.2738,61.7235,68.4651,73.7326,80.7159,73.4485,61.1095,56.8603,58.8093,60.2987
2021-09-30,79.8032,94.9332,87.8862,78.0983,64.0265,55.5507,48.6634,79.1018,83.8051,62.6719,70.3954,68.6851,53.378,54.9648,70.2479,76.1982,61.8907,68.3964,72.2437,75.1881,45.8297,49.2718,56.2532,40.0579,51.4206,39.8291,51.5144,56.3498,48.509,43.4156,71.0148,58.8316,69.3092,72.3185,84.1219,65.1889,55.3825,56.086,57.3279,60.6343
2021-12-31,84.4682,96.2464,91.9642,78.128,69.5145,54.0243,49.0229,76.9371,82.0658,71.8235,67.923,70.1262,54.5281,50.3538,70.6105,76.4263,58.4716,69.2119,70.2983,77.8052,47.0494,54.3969,57.9639,40.2581,53.7551,39.6106,52.9882,57.232,49.2665,44.4424,77.6688,65.9023,76.3892,74.0537,88.8132,71.7241,61.8887,60.6043,63.9826,60.6582
2022-03-31,82.7785,84.1528,84.4793,72.2162,60.9856,52.3363,47.6588,74.0263,63.7345,62.6063,58.7552,64.9655,54.8944,47.3026,61.2781,67.5964,55.4262,63.4094,74.6718,63.5861,56.56,65.2208,66.787,47.2176,60.935,52.742,60.513,64.7931,53.4904,54.9966,69.8415,68.3273,71.5595,75.3777,89.0531,65.9361,53.6755,50.1309,64.2526,62.1893
