date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,27.0867,6.499,4.3518,0.2149,5.1278,0.1332,-11.8996,5.5984,10.9048,8.2771,2.419,-7.8297,2.9276,-4.3409,8.3418,8.2444,1.6569,-0.3507,-2.9261,1.985,-36.9217,-37.9222,-49.9449,-8.8175,-37.8038,-37.8221,-40.8728,-29.4488,-47.1832,-4.0555,-13.8028,1.2765,-3.2164,-0.1166,4.364,-10.1724,-5.896,-4.0106,-0.6054,4.1603
2015-06-30,32.5203,-5.1407,4.5331,-5.424,3.933,-4.5984,-13.4487,-1.8226,8.7951,-14.3109,-4.1098,-0.304,0.9335,-2.2526,-1.3827,8.4975,-2.75,2.0312,-4.1437,4.5716,-33.1667,-34.7885,-39.9971,-25.253,-37.1907,-32.4177,-32.391,-26.33,-40.0828,-26.4812,-15.5287,-3.3243,-5.7476,0.0866,1.1902,-9.1868,-6.5717,-6.2588,0.3502,0.9355
2015-09-30,22.2634,-9.8746,6.5306,-1.7217,3.5688,-0.6115,-13.917,-2.0566,21.1217,-18.4698,-6.4402,-1.5096,2.8198,-6.0007,-15.5371,-12.3998,2.7175,-0.2706,-1.5018,2.1411,-37.4356,-37.6997,-39.8841,-33.0065,-50.3606,-36.46,-38.8485,-29.7615,-39.1882,-35.8465,-20.5127,-4.5842,-5.1516,-1.3386,0.7178,-17.8481,-8.6778,-6.6851,-1.4174,0.9444
2015-12-31,1.7065,-4.5977,11.9904,-6.3034,-0.0754,1.3111,-8.5182,-2.4472,21.7153,-18.6505,2.0618,5.8234,0.8688,1.4199,-1.58,-4.4434,0.4386,-1.6241,-7.3266,2.8376,-31.2335,-34.4329,-43.8526,-38.739,-49.4211,-34.8502,-37.9949,-32.6437,-41.0718,-42.0525,-8.5428,-8.0206,-6.8328,-1.4426,1.3177,-16.6025,-7.6285,-5.9859,-6.0969,0.5506
2016-03-31,-12.8478,-0.9757,13.3797,-3.3773,-1.1288,7.206,-4.6248,-4.5079,24.7168,-19.4807,-2.0922,-0.4824,5.5942,-9.9675,-33.8336,-20.4273,2.9722,-0.1006,1.8301,-3.6357,-28.598,-29.634,-33.6314,-36.3778,-47.959,-31.2723,-21.051,-28.843,-27.6422,-40.4539,-6.9403,-4.0052,-2.9058,0.9388,2.608,-16.8384,-7.5676,-4.5832,-8.0098,2.1805
2016-06-30,-14.6094,5.8341,23.8508,-1.0461,-1.5962,2.5616,-2.7627,1.2686,20.3545,3.6351,4.6954,-3.4878,5.8409,-8.2279,-8.0333,-7.1401,8.6891,-0.2185,-0.3104,-3.4768,-22.1271,-25.2524,-35.5119,-20.4883,-32.9886,-27.0395,-17.0345,-19.7871,-26.7795,-35.2087,-2.7246,-5.0757,-3.316,0.5198,2.5593,-17.7392,-5.4353,-1.1846,-8.628,10.0464
2016-09-30,-9.027,4.8685,53.5632,1.7401,-2.6021,9.0771,-0.2801,7.1741,20.2172,13.3431,10.3476,2.3672,4.3739,-3.2312,22.1799,13.0527,5.9159,2.1707,-4.5158,-2.5086,-14.2585,-11.5607,-11.6635,-17.1506,-11.7697,-15.0193,-6.6157,-12.0995,-18.008,-31.3329,-0.0545,-6.9485,-1.8615,0.6567,2.1857,-6.6141,-3.3008,-2.6282,-7.1294,11.1923
2016-12-30,3.2673,2.269,55.1035,0.467,-2.9094,9.7895,-1.3101,7.0555,23.118,3.8788,3.746,0.3737,2.6368,-5.0007,17.6241,21.8016,5.6223,1.8937,-4.0496,0.9431,7.7942,8.1682,8.1996,-8.2257,26.7761,-0.6415,19.9027,25.1645,9.7014,-20.8776,-0.3488,-5.91,5.004,0.9787,3.2292,-8.0663,-4.5653,1.9828,-7.0691,10.7264
2017-03-31,4.6265,7.8775,48.4291,2.1416,-0.5,7.9842,-2.8313,13.0984,21.5646,-9.6379,9.8619,6.8074,2.7404,7.0115,31.4366,26.6088,5.2514,6.7942,7.5062,17.8354,33.5398,39.3547,46.8073,5.7362,89.1199,39.284,38.5516,49.0347,41.3481,1.9295,-0.9521,-11.3208,1.5765,1.4132,5.6656,-0.6352,0.0,0.6256,-5.2269,12.6752
2017-06-30,7.2005,9.0781,56.1625,2.8129,-3.9959,9.0889,-4.6892,12.8323,26.7018,-11.135,8.668,9.4642,3.7455,7.3689,6.2938,12.3668,1.0855,8.9051,11.7864,15.4066,10.0167,19.363,26.7951,4.1597,43.4853,20.9008,13.6336,21.8662,13.5979,29.2568,-0.1428,-15.9199,2.0461,2.0694,7.8113,-5.0143,-0.4941,-0.2616,-3.0882,5.665
