date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,2.0,6.0,4.0,3.0,5.0,8.0,4.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,5.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,5.0,1.0
2015-06-30,2.0,6.0,4.0,3.0,4.0,7.0,4.0,2.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,1.0,4.0,0.0,1.0,1.0,0.0,4.0,1.0
2015-09-30,2.0,6.0,3.0,3.0,5.0,4.0,4.0,2.0,0.0,3.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,5.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,4.0,0.0,1.0,1.0,0.0,3.0,2.0
2015-12-31,1.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,5.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,3.0
2016-03-31,2.0,4.0,1.0,4.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,6.0,0.0,7.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,3.0
2016-06-30,2.0,4.0,1.0,3.0,1.0,4.0,5.0,3.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,2.0,1.0,2.0,5.0,0.0,6.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
2016-09-30,3.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,2.0,1.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0
2016-12-30,3.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,2.0,1.0,6.0,0.0,7.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0
2017-03-31,1.0,2.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,4.0,2.0,7.0,3.0,3.0,2.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0
2017-06-30,0.0,2.0,3.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,4.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0
2017-09-29,0.0,2.0,3.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0
2017-12-29,0.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
2018-03-29,0.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,7.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
