date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,23298.99219,8203.78516,21993.6084,4367.06982,5104.73877,4736.0,988.42419,1047.14233,500.2691,1649.56006,3728.3125,10520.39551,5145.58545,3034.93408,435.62115,1976.61304,1782.70496,520.6897,1015.65076,165.40506,4194.69043,1880.18042,1231.46167,1277.90637,548.46594,770.56641,514.02869,545.97125,542.32709,849.67181,2700.50977,4368.49268,1482.35596,9669.56982,439.97427,1639.81689,907.08197,365.20047,596.08997,592.34271
2015-06-30,23044.11914,8089.5752,21520.0,4336.07715,5085.88867,4744.0,984.73407,1040.3634,497.64539,1630.16101,3711.08716,10502.10059,5149.20508,3034.13965,432.0159,1970.02698,1773.03503,517.92035,1015.79572,164.61626,4181.1084,1880.47766,1232.94666,1269.72681,548.93451,768.11932,508.62143,543.27429,541.63208,850.87445,2712.99561,4358.70068,1476.0509,9661.64575,439.48767,1626.62268,907.08197,364.09918,596.08997,593.76251
2015-09-30,22810.88867,7997.98096,21560.0,4264.62842,5087.15283,4754.0,979.52985,1026.38574,498.79935,1571.20215,3698.06738,10438.41992,5133.35938,3009.84521,432.871,1953.3855,1761.00415,513.59985,1001.28333,163.63644,4169.44873,1881.73462,1233.45862,1265.4491,549.17145,763.95111,497.11182,536.1568,537.65961,854.74915,2713.14624,4350.00342,1468.99316,9617.82568,439.48767,1611.30713,907.08197,364.27502,597.68756,586.76593
2015-12-31,22301.32422,7987.91309,21520.0,4201.22021,5076.0791,4719.0,970.11011,1014.41205,498.79935,1503.09399,3681.12988,10412.47949,5107.81299,2978.99048,426.53616,1936.224,1753.5946,507.80579,984.24591,163.99254,4162.93848,1882.03674,1234.64197,1261.10376,549.70721,763.7359,481.50345,532.97406,533.44031,855.81335,2720.57275,4348.98535,1456.85083,9605.67993,439.77728,1589.16748,896.92206,362.99442,593.34521,564.51514
2016-03-31,22178.33203,7909.30273,21680.0,4149.86523,5032.12109,4724.0,960.88092,1005.25775,500.20953,1494.88733,3670.26489,10325.6748,5057.24561,2941.22363,422.34955,1958.56885,1735.91614,501.10519,958.3454,163.8891,4152.75684,1883.15625,1238.36621,1253.22729,549.89355,763.7406,469.77811,529.22339,526.22559,858.34204,2704.56567,4328.74951,1461.28748,9433.00562,439.03506,1557.13452,892.11072,360.6698,594.40155,564.60327
2016-06-30,21909.69922,7860.4668,21360.0,4122.72998,5029.71191,4722.0,959.96185,1004.22693,498.29089,1468.91516,3656.65894,10271.91602,5077.04785,2934.9292,415.39404,1937.02441,1726.40308,499.32373,951.03308,163.36674,4146.61133,1884.70239,1238.38721,1391.22729,550.27655,763.74152,469.80261,529.8349,525.58148,859.26501,2661.85181,4326.19873,1444.41699,9349.94019,438.06555,1552.06067,893.0177,360.12781,597.02094,563.51599
2016-09-30,21553.77148,7792.51563,21400.0,4105.64453,5014.354,4731.0,955.84424,1003.20978,497.22702,1473.64844,3611.98242,10204.79883,5045.54736,2905.37402,405.46164,1911.80896,1711.53357,491.40915,923.78088,162.584,4146.6499,1886.52051,1238.50513,1390.69348,550.64355,763.92627,461.34091,528.75983,522.8493,861.10254,2669.38599,4316.0293,1434.18311,9279.77271,438.06555,1555.53503,891.4931,359.63608,591.38336,555.13318
2016-12-30,21329.25195,7775.35059,21560.0,4102.35303,5019.75879,4739.0,950.85455,999.48572,497.22702,1476.88672,3578.26416,10105.04688,5022.30322,2849.73022,397.64923,1872.82129,1699.67639,486.50156,915.25537,162.069,4146.69336,1887.76929,1239.02747,1391.30835,576.4577,764.18848,452.66476,527.81519,520.85022,864.45221,2675.99243,4312.95947,1434.18311,9219.57056,439.24036,1544.41174,888.84259,358.15543,580.01129,546.93134
2017-03-31,20986.16016,7727.52979,23560.0,4114.68408,5007.85645,4728.0,943.21252,999.63971,494.698,1477.04102,3571.96313,10011.94238,5003.87207,2764.86523,397.79044,1866.16492,1693.22351,486.15628,899.91724,162.251,4146.51367,1893.10303,1235.83252,1394.12024,577.15967,764.57947,448.7308,527.87506,516.97052,866.93323,2556.47729,4292.01465,1428.24268,9099.0271,438.94122,1524.50488,884.19952,355.75089,576.13538,540.2121
2017-06-30,20855.36,7720.51473,23800.0,4136.682,5000.0544,4709.0,939.49688,996.32381,493.40568,1477.43652,3552.8038,9951.8989,4997.31801,2753.2578,393.63083,1849.78214,1685.2832,483.90144,893.77919,161.656,4237.2655,1894.56162,1237.10395,1389.47685,577.26846,764.58172,447.23141,518.7374,512.97052,867.86843,2557.61439,4272.55927,1428.50122,9043.4974,438.59334,1517.27817,883.29283,354.92812,577.09968,535.19756
2017-09-29,20660.912,7702.24398,24000.0,4173.053,4951.95585,4699.0,931.9403,990.03863,492.94301,1476.0668,3518.96441,10550.58034,4963.94464,2724.5561,386.87513,1836.581,1672.77012,479.20655,883.98,160.978,4237.10583,1895.00269,1216.94923,1384.52417,577.44812,764.57308,441.66397,506.25388,511.51078,871.59541,2550.01423,4265.30418,1425.51047,8961.60493,438.59334,1507.63993,880.84198,353.30284,568.33847,527.88177
2017-12-29,20348.224,7714.59,24240.0,4139.602,4943.62212,4680.0,925.79138,985.56059,492.94301,1474.16464,3469.72558,10430.61368,4924.26145,2644.002,377.20148,1807.899,1659.49117,475.80108,867.996,160.332,4237.10608,1899.37393,1195.51582,1385.26169,578.21923,765.24535,437.58136,488.41217,506.74049,872.5409,2536.95808,4260.66732,1422.14336,8887.14434,439.10587,1494.3886,878.10522,351.7573,569.04379,521.05632
2018-03-29,20296.052,7699.79285,24200.0,4082.313,4817.51741,4668.0,921.16789,983.1058,492.47034,1480.3633,3410.41089,10224.02264,4876.09291,2560.32553,379.02982,1791.846,1650.83092,471.59038,860.145,160.719,4237.46216,1910.25326,1174.57751,1385.95714,578.63787,765.66887,430.9223,474.39082,466.32514,874.90983,2521.0,4264.49949,1419.44528,8887.14434,438.82027,1487.32847,873.42713,350.06517,592.89,521.91875
2018-06-29,19660.552,7683.1975,24280.0,3981.155,4702.88249,4660.0,917.96831,978.91815,489.66266,1482.62231,3404.77692,10139.35441,4872.87383,2549.93349,377.71809,1770.26,1642.45986,469.49876,860.362,160.17,4233.83444,1910.95998,1170.06621,1385.13322,578.86127,765.77022,431.02342,461.87878,465.83695,875.97639,2514.59948,4255.2626,1417.84879,8852.53318,438.54154,1475.06804,872.32074,349.32908,593.36785,520.98838
2018-09-28,19319.704,7668.21732,24320.0,3788.63816,4571.33414,4611.0,912.76819,972.19507,488.13353,1291.11104,3360.88411,9988.24971,4816.13716,2516.60541,377.55623,1744.79,1629.04505,464.30234,861.054,159.584,4233.81035,1916.1471,1162.09531,1384.11891,579.20078,764.72145,427.39803,451.00463,464.26241,879.89561,2489.15925,4252.92245,1414.32164,8786.20373,438.54154,1466.561,867.7387,347.66454,596.22993,519.77499
2018-12-31,18981.592,7728.91455,24400.0,3588.919,4495.96173,4564.0,908.79378,960.54324,488.13353,1212.16259,3325.41073,9814.19686,4707.24417,2442.13681,371.97374,1720.155,1616.09291,461.425,854.262,157.712,4233.80717,1910.77437,1151.24189,1385.0,579.90304,755.02594,424.30824,690.85353,461.12532,876.04627,2491.40833,4256.5139,1411.568,8715.78018,440.49048,1453.83542,867.31992,346.30092,596.74892,519.78761
2019-03-29,18861.12,7672.21345,24240.0,3417.654,4402.02772,4497.0,889.86626,938.61766,487.95094,1210.30569,3274.24173,9638.94665,4541.95182,2340.4913,366.76312,1708.78757,1600.25942,453.61252,838.74771,158.032,4234.80243,1900.06276,1134.40409,1385.97262,580.05806,747.87757,417.61336,672.65119,454.91309,872.54284,2501.57971,4275.16125,1404.2819,8609.05269,439.88,1445.74772,859.8105,344.10938,598.79068,513.46266
2019-06-28,18404.3,7662.81792,24360.0,3335.819,4280.73301,4477.0,886.64287,938.20617,485.43876,1215.69893,3243.97297,9508.20322,4494.34288,2312.46772,365.83878,1682.23456,1592.06231,451.43792,835.08054,154.52176,4231.09391,1904.73768,1130.17594,1385.12227,580.32462,748.02028,417.24145,662.618,453.55117,873.97849,2508.32976,4266.11511,1401.82166,8564.16641,439.78919,1440.43577,858.51492,343.79533,601.95961,513.97535
2019-09-30,18076.72,7635.4094,24360.0,3282.51716,4245.29023,4430.0,885.87516,933.61994,484.07861,1215.65773,3197.48499,9308.30054,4406.10702,2259.05647,359.56352,1652.76793,1575.82666,445.2569,829.67369,154.57378,4231.10629,1898.41847,1110.1416,1383.00507,580.66306,894.47978,414.40344,658.31932,448.5417,875.93226,2502.63312,4276.02744,1398.1695,8532.85224,439.78919,1442.1505,858.00645,344.13627,604.39377,513.17695
2019-12-31,17773.06,7628.80562,24480.0,3207.649,4242.26257,4350.0,885.63745,934.77544,484.07861,1141.84486,3136.48492,8995.1074,4229.3592,2183.19394,354.08705,1618.5979,1561.85916,438.17041,818.27082,154.37071,4231.10607,1890.87219,1097.26867,1384.38927,581.7641,893.31747,410.65273,649.32171,444.35758,877.8044,2493.81205,4284.49138,1394.43534,8511.52481,441.75763,1439.82437,857.04422,342.8056,604.81681,510.22683
2020-03-31,17501.92,7606.04701,24499.42304,3153.584,4240.88016,4277.0,888.40802,933.68548,481.80085,1143.04281,3073.97662,8724.77125,4089.39801,2098.20773,343.87375,1532.39772,1521.26134,428.72678,805.77812,154.82753,4232.19074,1879.32477,1076.85993,1388.16246,582.05495,895.22496,408.54583,650.00063,437.8378,879.91145,2469.45288,4293.40151,1389.24099,8496.83166,441.57995,1432.94301,857.44724,341.46028,606.13892,508.50858
