date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2015-03-31,27.608,30.083,32.812,19.631,28.974,29.51,21.76,22.239,22.689,32.585,23.984,27.903,19.87,25.083,22.515,25.507,19.114,21.681,25.903,21.719,20.37,24.7,28.307,27.576,32.012,24.42,32.666,32.64,33.413,29.975,16.419,16.215,17.213,20.233,20.663,20.724,20.571,20.237,16.125,19.3
2015-06-30,18.349,27.855,28.522,20.824,15.532,21.841,16.511,24.473,19.043,17.61,14.914,16.813,13.149,15.785,14.501,17.118,13.783,13.233,16.072,15.676,13.207,13.557,17.369,19.081,21.389,18.228,23.111,24.389,17.841,26.293,11.636,9.356,11.049,14.453,13.552,16.939,12.027,15.744,10.322,16.046
2015-09-30,35.797,30.483,41.0,25.1,26.394,27.427,26.292,31.211,28.952,26.12,27.517,31.181,27.22,30.746,26.349,31.01,27.732,26.921,24.581,24.509,29.675,35.707,37.842,30.118,40.876,30.546,38.089,43.555,33.292,44.704,20.741,15.783,18.632,21.387,19.691,25.803,21.239,20.072,19.187,21.785
2015-12-31,26.148,27.852,36.543,23.717,21.772,20.687,22.401,31.76,23.431,49.262,23.256,27.641,19.535,25.936,25.935,30.309,20.752,22.848,18.922,27.418,26.714,30.4,35.894,25.912,35.374,30.143,29.615,34.78,26.529,34.841,16.252,15.653,15.158,28.393,20.412,23.418,18.965,17.643,18.858,13.103
2016-03-31,30.809,29.965,40.689,24.817,32.775,32.086,26.733,26.069,36.458,39.565,34.466,43.06,29.14,44.724,34.0,44.448,28.631,26.937,34.322,35.088,28.414,38.423,64.866,34.656,50.073,37.811,50.45,60.455,34.28,41.858,16.743,13.468,15.244,20.887,21.341,33.806,19.371,17.565,16.455,23.477
2016-06-30,24.161,26.907,38.601,21.153,20.965,20.933,23.935,20.452,23.793,24.295,27.341,35.921,21.885,38.142,29.03,37.694,22.063,25.018,24.261,27.42,13.873,17.936,39.813,26.971,33.295,22.808,28.04,45.17,23.301,31.209,13.606,17.384,14.168,26.106,17.552,26.553,15.287,17.96,18.071,16.836
2016-09-30,22.93,16.309,26.85,14.904,12.59,18.311,13.19,20.939,20.483,25.297,12.458,20.774,17.099,19.24,18.597,20.935,11.638,14.434,14.335,15.841,18.759,18.624,30.94,19.413,33.849,19.96,28.747,34.624,20.889,29.662,12.508,14.587,10.492,14.354,14.757,19.7,13.101,12.92,16.381,16.45
2016-12-30,16.46,18.834,68.799,16.881,16.83,21.307,15.898,18.941,18.442,24.436,19.921,27.268,26.654,21.342,24.213,24.334,15.579,21.384,23.927,19.231,15.294,15.625,34.131,19.375,29.689,25.795,28.058,32.129,16.812,30.999,16.114,14.266,15.371,14.756,14.451,29.016,15.036,15.843,18.43,23.035
2017-03-31,15.578,11.296,36.808,16.073,10.936,13.615,13.165,14.741,13.368,35.539,18.37,25.115,20.054,19.634,20.701,26.476,15.021,21.826,12.788,15.159,14.729,14.85,31.284,16.444,22.134,17.962,19.609,21.865,16.498,24.23,12.878,10.025,9.432,14.902,15.925,21.495,19.271,15.653,17.784,13.537
2017-06-30,19.285,15.642,52.127,20.073,20.156,15.485,15.307,20.859,15.653,19.3,18.138,24.019,19.66,18.489,23.88,22.781,15.166,19.14,16.465,13.79,11.704,16.098,22.602,17.376,20.746,24.983,18.374,21.97,16.375,23.118,9.758,8.339,9.836,16.542,22.611,15.218,16.979,13.467,14.546,18.072
