ticker,sector,included
AAPL,it,True
MSFT,it,True
NVDA,it,True
ORCL,it,True
CSCO,it,True
INTC,it,True
IBM,it,True
TXN,it,True
ADBE,it,True
QCOM,it,True
JPM,fn,True
BAC,fn,True
WFC,fn,True
C,fn,True
GS,fn,True
MS,fn,True
USB,fn,True
PNC,fn,True
AXP,fn,True
BLK,fn,True
XOM,en,True
CVX,en,True
COP,en,True
SLB,en,True
EOG,en,True
OXY,en,True
VLO,en,True
MPC,en,True
PSX,en,True
HAL,en,True
PG,cs,True
KO,cs,True
PEP,cs,True
WMT,cs,True
COST,cs,True
MDLZ,cs,True
CL,cs,True
KMB,cs,True
GIS,cs,True
SYY,cs,True
