group,n_triggers,base_rate
overall,1792,0.23828125
split=embargo,15,0.26666666666666666
split=purged,2,0.5
split=test,356,0.21067415730337077
split=train,1074,0.24208566108007448
split=val,345,0.25217391304347825
year=2015,166,0.2710843373493976
year=2016,174,0.2471264367816092
year=2017,168,0.19642857142857142
year=2018,187,0.2727272727272727
year=2019,174,0.1839080459770115
year=2020,206,0.2766990291262136
year=2021,178,0.2808988764044944
year=2022,176,0.2159090909090909
year=2023,165,0.23636363636363636
year=2024,198,0.19696969696969696
regime=calm,896,0.22209821428571427
regime=stressed,896,0.2544642857142857
