group,n_triggers,base_rate
overall,1839,0.24143556280587275
split=embargo,14,0.35714285714285715
split=purged,1,1.0
split=test,324,0.23765432098765432
split=train,1122,0.25133689839572193
split=val,378,0.20899470899470898
year=2015,162,0.2839506172839506
year=2016,194,0.23711340206185566
year=2017,193,0.21243523316062177
year=2018,192,0.2916666666666667
year=2019,160,0.26875
year=2020,221,0.22624434389140272
year=2021,203,0.21674876847290642
year=2022,186,0.20967741935483872
year=2023,166,0.2891566265060241
year=2024,162,0.19135802469135801
regime=calm,922,0.22668112798264642
regime=stressed,917,0.25627044711014174
