quarter_end,component,rank,characteristic,loading,proposed_name
2015-03-31,pc_1,1,close_price,0.43590171638272524,
2015-03-31,pc_1,2,ask_price,0.43589850343205605,
2015-03-31,pc_1,3,bid_price,0.4358957985682463,
2015-03-31,pc_1,4,dividend_per_share,0.40727134797620257,
2015-03-31,pc_1,5,shares_outstanding,-0.3593695922260533,
2015-03-31,pc_2,1,sales_growth,0.4836043196675732,
2015-03-31,pc_2,2,market_cap,0.3963385395989816,
2015-03-31,pc_2,3,price_to_sales,0.3927423134328346,
2015-03-31,pc_2,4,analyst_rating,0.3678742886636708,
2015-03-31,pc_2,5,volatility_60d,-0.3008396059818302,
2015-03-31,pc_3,1,price_to_book,-0.47760926177839563,
2015-03-31,pc_3,2,normalized_roe,-0.47516603626722703,
2015-03-31,pc_3,3,rsi_14d,-0.3500102114665872,
2015-03-31,pc_3,4,sentiment,0.33697311565451266,
2015-03-31,pc_3,5,analyst_rating,0.2653547632287754,
2015-06-30,pc_1,1,close_price,0.440029184199725,
2015-06-30,pc_1,2,ask_price,0.44002137731635327,
2015-06-30,pc_1,3,bid_price,0.4400157095153248,
2015-06-30,pc_1,4,dividend_per_share,0.40493594295585766,
2015-06-30,pc_1,5,shares_outstanding,-0.37101048114344404,
2015-06-30,pc_2,1,sales_growth,0.4877001795425092,
2015-06-30,pc_2,2,rsi_14d,0.44452620460087444,
2015-06-30,pc_2,3,normalized_roe,0.42039900604359076,
2015-06-30,pc_2,4,price_to_book,0.39057128579176725,
2015-06-30,pc_2,5,volatility_60d,-0.26749353698615447,
2015-06-30,pc_3,1,market_cap,0.44860650150524534,
2015-06-30,pc_3,2,analyst_rating,0.44110325477917517,
2015-06-30,pc_3,3,price_to_book,-0.4189253995918003,
2015-06-30,pc_3,4,normalized_roe,-0.35416279701751946,
2015-06-30,pc_3,5,shares_outstanding,0.24661883227037998,
2015-09-30,pc_1,1,bid_price,0.4382944158508276,
2015-09-30,pc_1,2,ask_price,0.4382859317083245,
2015-09-30,pc_1,3,close_price,0.43824833645713007,
2015-09-30,pc_1,4,dividend_per_share,0.4032241005994642,
2015-09-30,pc_1,5,shares_outstanding,-0.3673902685478068,
2015-09-30,pc_2,1,sales_growth,0.5404025181353522,
2015-09-30,pc_2,2,volatility_60d,-0.4201084117921157,
2015-09-30,pc_2,3,rsi_14d,0.41019978776854416,
2015-09-30,pc_2,4,pe_ratio,-0.3065430725478807,
2015-09-30,pc_2,5,price_to_sales,0.27476514447085254,
2015-09-30,pc_3,1,market_cap,0.5222481747129287,
2015-09-30,pc_3,2,analyst_rating,0.42290554893253357,
2015-09-30,pc_3,3,rsi_14d,-0.37615387448590043,
2015-09-30,pc_3,4,price_to_book,-0.34917802796228786,
2015-09-30,pc_3,5,shares_outstanding,0.2599859643098827,
2015-12-31,pc_1,1,bid_price,0.4409802486670666,
2015-12-31,pc_1,2,ask_price,0.44097405109878174,
2015-12-31,pc_1,3,close_price,0.44095728240602794,
2015-12-31,pc_1,4,dividend_per_share,0.4040924167967808,
2015-12-31,pc_1,5,shares_outstanding,-0.3630685156068647,
2015-12-31,pc_2,1,sales_growth,0.5012474253394906,
2015-12-31,pc_2,2,volatility_60d,-0.4279324915620225,
2015-12-31,pc_2,3,rsi_14d,0.4139382879234553,
2015-12-31,pc_2,4,pe_ratio,-0.40098991500375636,
2015-12-31,pc_2,5,normalized_roe,0.25338062859234534,
2015-12-31,pc_3,1,analyst_rating,0.48686088527032195,
2015-12-31,pc_3,2,market_cap,0.48057121155834054,
2015-12-31,pc_3,3,price_to_sales,0.2977068883854387,
2015-12-31,pc_3,4,shares_outstanding,0.27512307909217876,
2015-12-31,pc_3,5,price_to_book,-0.23092375884392957,
2016-03-31,pc_1,1,bid_price,0.42793424557604165,
2016-03-31,pc_1,2,ask_price,0.4279124524181459,
2016-03-31,pc_1,3,close_price,0.42790201092544067,
2016-03-31,pc_1,4,dividend_per_share,0.3890381071330695,
2016-03-31,pc_1,5,shares_outstanding,-0.3394881785051604,
2016-03-31,pc_2,1,volatility_60d,-0.43364464000880965,
2016-03-31,pc_2,2,sales_growth,0.42179855581479775,
2016-03-31,pc_2,3,rsi_14d,0.400892611179991,
2016-03-31,pc_2,4,pe_ratio,-0.32800067467446187,
2016-03-31,pc_2,5,normalized_roe,0.326071565872032,
2016-03-31,pc_3,1,price_to_book,-0.41547056443403213,
2016-03-31,pc_3,2,market_cap,0.41131581859283356,
2016-03-31,pc_3,3,normalized_roe,-0.38721817781085527,
2016-03-31,pc_3,4,analyst_rating,0.2968976012926817,
2016-03-31,pc_3,5,cash_flow_growth,-0.2947464347932015,
2016-06-30,pc_1,1,close_price,0.42003066539388384,
2016-06-30,pc_1,2,bid_price,0.42002018544601755,
2016-06-30,pc_1,3,ask_price,0.4200153129952211,
2016-06-30,pc_1,4,dividend_per_share,0.3881915723470555,
2016-06-30,pc_1,5,shares_outstanding,-0.33853471356377024,
2016-06-30,pc_2,1,rsi_14d,0.4582728236526419,
2016-06-30,pc_2,2,sales_growth,0.4143271674732417,
2016-06-30,pc_2,3,normalized_roe,0.3942496413515454,
2016-06-30,pc_2,4,price_to_book,0.3598647126656439,
2016-06-30,pc_2,5,pe_ratio,-0.3400111644407566,
2016-06-30,pc_3,1,market_cap,0.5447703619945812,
2016-06-30,pc_3,2,analyst_rating,0.3241067636961177,
2016-06-30,pc_3,3,price_to_book,-0.316393892371895,
2016-06-30,pc_3,4,volatility_60d,-0.29168451145742635,
2016-06-30,pc_3,5,shares_outstanding,0.27580006959645553,
2016-09-30,pc_1,1,bid_price,0.4328381304620517,
2016-09-30,pc_1,2,ask_price,0.4328316058077769,
2016-09-30,pc_1,3,close_price,0.43282695256989595,
2016-09-30,pc_1,4,dividend_per_share,0.405377615508883,
2016-09-30,pc_1,5,shares_outstanding,-0.3451194679859232,
2016-09-30,pc_2,1,pe_ratio,-0.46799221711728134,
2016-09-30,pc_2,2,volatility_60d,-0.416327561406735,
2016-09-30,pc_2,3,rsi_14d,0.3798633827476528,
2016-09-30,pc_2,4,sales_growth,0.37828337134556006,
2016-09-30,pc_2,5,cash_flow_growth,-0.35349790244671386,
2016-09-30,pc_3,1,market_cap,0.4654319217503408,
2016-09-30,pc_3,2,price_to_book,-0.4366680495154819,
2016-09-30,pc_3,3,normalized_roe,-0.3972267583727194,
2016-09-30,pc_3,4,analyst_rating,0.3298759596581902,
2016-09-30,pc_3,5,rsi_14d,-0.27687230548890346,
2016-12-31,pc_1,1,close_price,0.4311546232607012,
2016-12-31,pc_1,2,bid_price,0.4311299567820241,
2016-12-31,pc_1,3,ask_price,0.4311255098973219,
2016-12-31,pc_1,4,dividend_per_share,0.4053922375669789,
2016-12-31,pc_1,5,shares_outstanding,-0.365868616548759,
2016-12-31,pc_2,1,sales_growth,0.5159720878539977,
2016-12-31,pc_2,2,volatility_60d,0.4771787344944447,
2016-12-31,pc_2,3,rsi_14d,0.37809192590945473,
2016-12-31,pc_2,4,market_cap,-0.3379536956831412,
2016-12-31,pc_2,5,price_to_sales,0.3163965487449955,
2016-12-31,pc_3,1,normalized_roe,-0.4586810931322358,
2016-12-31,pc_3,2,price_to_book,-0.4488095457798658,
2016-12-31,pc_3,3,market_cap,0.3963620527307609,
2016-12-31,pc_3,4,analyst_rating,0.3818986686393996,
2016-12-31,pc_3,5,ask_price,0.21831964972093976,
2017-03-31,pc_1,1,bid_price,0.4223289872726202,
2017-03-31,pc_1,2,ask_price,0.4223275190045095,
2017-03-31,pc_1,3,close_price,0.42232504944720894,
2017-03-31,pc_1,4,dividend_per_share,0.3945565368432107,
2017-03-31,pc_1,5,shares_outstanding,-0.36802598008299725,
2017-03-31,pc_2,1,pe_ratio,-0.44879361536125667,
2017-03-31,pc_2,2,market_cap,0.4325897846077075,
2017-03-31,pc_2,3,sales_growth,-0.41056014944181785,
2017-03-31,pc_2,4,volatility_60d,-0.3840403777954077,
2017-03-31,pc_2,5,cash_flow_growth,-0.2686742984861122,
2017-03-31,pc_3,1,price_to_book,-0.5879037018871495,
2017-03-31,pc_3,2,normalized_roe,-0.5718564100080338,
2017-03-31,pc_3,3,analyst_rating,0.24957729082096727,
2017-03-31,pc_3,4,market_cap,0.2069044372161699,
2017-03-31,pc_3,5,sales_growth,0.19136102693195728,
2017-06-30,pc_1,1,bid_price,0.41794517948106885,
2017-06-30,pc_1,2,close_price,0.4179371727525402,
2017-06-30,pc_1,3,ask_price,0.41793076120065487,
2017-06-30,pc_1,4,dividend_per_share,0.381820188280742,
2017-06-30,pc_1,5,shares_outstanding,-0.3640588931408081,
2017-06-30,pc_2,1,sales_growth,0.5113522896383327,
2017-06-30,pc_2,2,price_to_sales,0.41481374563026857,
2017-06-30,pc_2,3,volatility_60d,0.4122267219878775,
2017-06-30,pc_2,4,cash_flow_growth,0.34280273557637736,
2017-06-30,pc_2,5,rsi_14d,0.2621381072459217,
2017-06-30,pc_3,1,market_cap,0.5028124590958254,
2017-06-30,pc_3,2,price_to_book,-0.3580117961941354,
2017-06-30,pc_3,3,normalized_roe,-0.3370103110221859,
2017-06-30,pc_3,4,pe_ratio,-0.3182274152773633,
2017-06-30,pc_3,5,shares_outstanding,0.2651227591376264,
2017-09-30,pc_1,1,bid_price,0.423566455477644,
2017-09-30,pc_1,2,ask_price,0.42356552562553196,
2017-09-30,pc_1,3,close_price,0.4235576364584559,
2017-09-30,pc_1,4,dividend_per_share,0.38540378775206297,
2017-09-30,pc_1,5,shares_outstanding,-0.3785197841955817,
2017-09-30,pc_2,1,price_to_sales,0.3933792021306133,
2017-09-30,pc_2,2,rsi_14d,0.38628529674366485,
2017-09-30,pc_2,3,sales_growth,0.38595774516842385,
2017-09-30,pc_2,4,volatility_60d,0.3667185083562907,
2017-09-30,pc_2,5,normalized_roe,-0.2736831486906747,
2017-09-30,pc_3,1,market_cap,-0.5169414375956246,
2017-09-30,pc_3,2,volatility_60d,0.3497518947489119,
2017-09-30,pc_3,3,price_to_book,0.29665672304721635,
2017-09-30,pc_3,4,sales_growth,0.29165675880289005,
2017-09-30,pc_3,5,normalized_roe,0.26825499662905294,
2017-12-31,pc_1,1,close_price,0.4256262061056525,
2017-12-31,pc_1,2,ask_price,0.4255847533342264,
2017-12-31,pc_1,3,bid_price,0.42558381204821955,
2017-12-31,pc_1,4,dividend_per_share,0.3882787400403473,
2017-12-31,pc_1,5,shares_outstanding,-0.38237281911015897,
2017-12-31,pc_2,1,price_to_sales,0.37525893331350973,
2017-12-31,pc_2,2,sentiment,0.36999797251339017,
2017-12-31,pc_2,3,analyst_rating,0.3342323533852924,
2017-12-31,pc_2,4,normalized_roe,-0.3234662757020768,
2017-12-31,pc_2,5,rsi_14d,0.30195358943431694,
2017-12-31,pc_3,1,pe_ratio,0.47925009059732554,
2017-12-31,pc_3,2,sales_growth,0.4749209475736239,
2017-12-31,pc_3,3,market_cap,-0.4241619676614499,
2017-12-31,pc_3,4,cash_flow_growth,0.35929192018259803,
2017-12-31,pc_3,5,volatility_60d,0.22508200470719641,
2018-03-31,pc_1,1,close_price,0.41951885197685895,
2018-03-31,pc_1,2,ask_price,0.4194781035313867,
2018-03-31,pc_1,3,bid_price,0.4194729391074861,
2018-03-31,pc_1,4,dividend_per_share,0.39308190356315825,
2018-03-31,pc_1,5,shares_outstanding,-0.3830975366028815,
2018-03-31,pc_2,1,price_to_sales,0.39759068356762906,
2018-03-31,pc_2,2,volatility_60d,0.3617793093686929,
2018-03-31,pc_2,3,rsi_14d,0.35271862816243915,
2018-03-31,pc_2,4,sales_growth,0.3250055224376003,
2018-03-31,pc_2,5,pe_ratio,0.28802666500391255,
